"","name","DistKM","fake","long","lat.x","lon","lat.y","CityGTD"
"1","abhayapuri",4.96093707526552,1,90.666667,26.333333,90.6393702,26.3707514,"bongaigaondistrict"
"2","abiramam",43.0722947454499,1,78.45,9.466667,78.5012983,9.8527485,"nadustate"
"3","abohar",21.0252283116662,1,74.2,30.14,74.4093258,30.1937521,"kabarwala"
"4","aburoad",5.20487993351275,1,72.783333,24.483333,72.7977232,24.5284406,"panduri"
"5","achalpur",44.6201666783415,1,77.5,21.26,77.7535,20.9347,"sinari"
"6","addanki",24.1081591812126,1,79.983333,15.816667,79.794474,15.698285,"lakkavaram"
"7","adilabad",86.3017606419297,1,78.53,19.68,78.1988335,18.9665688,"siripur"
"8","adoni",78.1012881890339,1,77.27,15.63,76.8201976,16.1855905,"hira"
"9","adra",32.6933900886976,1,86.666667,23.5,86.4996546,23.2482587,"puriliadistrict"
"10","aduturai",14.036035488894,1,79.483333,11.033333,79.3834088,10.9536193,"koilamati"
"11","afzalgarh",39.0638141808897,1,78.683333,29.4,78.4,29.15,"noorpura"
"12","afzalpur",41.662798303994,1,76.35,17.2,76.3579401,17.5763706,"hiroli"
"13","agar",43.7549077757773,1,76.016667,23.7,75.6510381,23.4937408,"nadimarg"
"14","agartala",1.93215593021772,1,91.27,23.84,91.2818815,23.826403,"tripurastate"
"15","agra",18.3492058721416,1,78.05,27.45,77.949593,27.5893062,"matu"
"16","ahmadnagar",33.7863054444108,1,74.74,19.1,74.6488264,19.392678,"arauri"
"17","ahmadpur",39.5711279467926,1,87.7,23.833333,87.899546,23.5269315,"mangalkote"
"18","ahmedabad",1.213629120837,1,72.58,23.03,72.5713621,23.022505,"ahmedabad"
"19","ahraura",16.0621619075675,1,83.016667,25.016667,83.1742791,25.0367397,"baira"
"20","ahwa",68.8058465629173,1,73.683333,20.75,73.2433624,21.2141858,"mashhad"
"21","aizawl",2.04854761971575,1,92.71,23.71,92.7176389,23.727107,"aijal"
"22","aizawl",2.04854761971575,1,92.71,23.71,92.7176389,23.727107,"aizwaltown*"
"23","ajaigarh",35.8524782021704,1,80.266667,24.9,79.9198549,24.8318452,"khajoura"
"24","ajjampur",52.6164405820243,1,76.009444,13.728056,75.5400433,13.853376,"gajanur"
"25","ajmer",2.58340051629228,1,74.64,26.45,74.6452084,26.4728408,"todarmal"
"26","ajra",54.6003961822921,1,74.2,16.116667,73.7654173,15.8583238,"konkan"
"27","akalgarh",15.2834197197525,1,75.883333,29.816667,76.0196069,29.8866525,"zhanewal"
"28","akalkot",15.7367889368561,1,76.216667,17.533333,76.3579401,17.5763706,"hiroli"
"29","akaltara",79.9009489679214,1,82.433333,22.016667,83.0401653,21.5699902,"kotmara"
"30","akbarpur",33.4717969894845,1,79.95,26.383333,80.249805,26.519121,"kalyanpur"
"31","akhnur",7.58924861247932,1,74.733333,32.866667,74.6546816,32.8500444,"dhoob"
"32","akividu",77.9329285631211,1,81.383333,16.6,80.6602264,16.5024399,"nike"
"33","aklera",32.5075168946522,1,76.566667,24.416667,76.782702,24.6336199,"dohni"
"34","akodia",59.8532434549633,1,76.6,23.383333,77.1765548,23.2904215,"dodi"
"35","akola",48.6214265653835,1,77,20.71,76.68,21.03,"sangrampur"
"36","akot",39.2256314544268,1,77.05,21.1,76.68,21.03,"sangrampur"
