"","CityGTD","DistKM","fake","long","lat.x","name","lon","lat.y"
"44","lasarenas",0.148886973125631,1,-4.04411,36.81625,"arenas",-4.044638,36.8149773
"59","nabatiyeh",0.190917100981918,1,35.48389,33.37889,"nabatiyeettahta",35.4838294,33.3771694
"42","kokraghard",0.210251827274322,1,90.271819,26.399042,"kokrajhar",90.27,26.4
"20","donostiasansebastian",0.210320403228225,1,-1.98,43.32,"sansebastian",-1.9812313,43.318334
"67","pasajes",0.249691205112514,1,-1.92707,43.3253,"pasaia",-1.9301396,43.3254703
"48","macao",0.305946051903851,1,113.54611,22.20056,"zhuhai",113.543873,22.198745
"24","generalsantoscity",0.398828827282309,1,125.17167,6.11278,"generalsantos",125.171618,6.1163861
"56","midnapore",0.485170529637927,1,87.32257,22.42114,"medinipur",87.319,22.424
"85","shariffaguak",0.553757492083124,1,124.44,6.86,"maganoy",124.441667,6.864722
"8","baqubahh",0.617727882651762,1,44.64,33.75,"baqubah",44.633333,33.75
"17","derna",0.725842103053144,1,22.64,32.77,"darnah",22.633333,32.766667
"88","srinajar",0.978405616725201,1,74.79,34.09,"srinagar",74.7973681,34.0836581
"89","srinigar",0.978405616725201,1,74.79,34.09,"srinagar",74.7973681,34.0836581
"55","merca",0.998553035549331,1,44.76,1.72,"marka",44.7686135,1.7174656
"97","westbank",1.05843552499923,1,35.22,31.78,"jerusalem",35.2136806,31.7721276
"41","kinshasa",1.07390065885556,1,15.32,-4.31,"kinshasa",15.3120979,-4.3043976
"74","renteria",1.32497753033169,1,-1.89,43.32,"errenteria",-1.8912823,43.3081107
"3","ashkelon",1.35821386240586,1,34.56,31.67,"ashqelon",34.5742523,31.6687885
"25","grozny",1.6852712563439,1,45.7,43.31,"groznyy",45.6814856,43.3168796
"84","sderot",1.68703370023472,1,34.58,31.53,"sederot",34.595581,31.522694
"23","gazacity",2.0723898897217,1,151.0881,-33.82663,"sydney",151.0878804,-33.8079471
"26","guernica",2.19877837904081,1,-2.69,43.33,"gernikalumo",-2.6808403,43.311373
"2","alhillahh",2.53259192838519,1,44.41963,32.46367,"alhillah",44.433333,32.483333
"18","dili",2.65467049007006,1,125.58,-8.57,"dili",125.566667,-8.55
"14","cuzco",2.77490871363022,1,-71.99,-13.52,"cusco",-71.9674626,-13.53195
"10","batticaloaa",2.86884854818254,1,81.69,7.71,"batticaloa",81.6747295,7.7309971
"62","negev",3.18533277829328,1,34.9,31.96,"telaviv",34.9125244,31.9866686
"75","riyadh",3.43413164936219,1,44.44,33.33,"baghdad",44.4582937,33.3031147
"39","khar",3.67625552889431,1,71.97,34.62,"batkhela",71.9312421,34.6115452
"68","patikul",3.68996961950619,1,121.066667,6.066667,"bangkal",121.1,6.066667
"54","maydanshahr",4.49269123337442,1,68.86618,34.39561,"kabul",68.8406928,34.3610595
"37","katlehong",4.49929328518516,1,28.13,-26.33,"johannesburg",28.1526196,-26.3651259
"21","dulcenombredemaria",4.9668274937116,1,-89.05,14.18,"sanfranciscomorazan",-89.0119581,14.1547521
"80","salisbury",5.31188555030262,1,31.05,-17.82,"harare",31.029722,-17.863889
"94","tejutla",5.80207515749812,1,-89.05,14.18,"sanfranciscomorazan",-89.1026858,14.1696312
"11","buhriz",6.07166981278802,1,44.64,33.75,"baqubah",44.666667,33.7
"46","lawdar",6.09523031285446,1,45.83488,13.83783,"jawfalmaqbabah",45.866667,13.883333
"81","sanjoseguayabal",6.13020927206986,1,-89.12,13.79,"sansalvador",-89.093145,13.8387986
"82","sanrafaelcedros",6.14008184191585,1,-88.94,13.73,"sansalvador",-88.883333,13.733333
"13","cinquera",6.80239824227774,1,-88.98,13.83,"sansalvador",-88.9599382,13.8882751
"93","tejutepeque",7.06744600986563,1,-88.92,13.79,"sansalvador",-88.9066546,13.8525338
"34","kabal",7.22112700200577,1,72.36,34.78,"mingaora",72.2825197,34.7922834
"70","punjab",7.72943494141876,1,75.337222,31.0775,"shahkot",75.3412179,31.1471305
"29","hayatabad",8.11793542814848,1,71.54,34.01,"peshawar",71.456944,33.986111
"79","sagone",9.08834079305374,1,8.59586,42.13629,"cargese",8.701548,42.113828
"61","narayanpur",9.22756338372883,1,93.91673,27.01718,"bihpuriagaon",93.8591678,26.9517896
"77","sadiyah",9.79393593752428,1,45.16,34.27,"jalula",45.1260669,34.1863275
"83","sariab",10.1095438117322,1,66.99299,30.19438,"kotmalik",66.9833625,30.1035685
"63","newtownhamilton",10.3743749935279,1,-6.7,54.25,"keady",-6.5755,54.192
"87","spinboldak",10.5531215828536,1,66.44,30.92,"chaman",66.398056,31.008056
"15","dantewada",10.6217687128193,1,81.4,18.983333,"gidam",81.35,18.9
"5","badaber",10.9338046349254,1,71.54,34.01,"peshawar",71.5549808,33.9122213
"1","abughraib",11.4293121390957,1,44.18695,33.30703,"baghdad",44.065556,33.291944
"51","mantaro",11.9220612679466,1,-75.5,-11.8,"jauja",-75.3929523,-11.822224
"9","bara",12.0975336319958,1,71.54,34.01,"peshawar",71.4625883,33.9220536
"31","iskandariyah",12.1094726431906,1,44.22,32.87,"jurfassahr",44.3473041,32.8895852
"99","yarang",12.2315121962565,1,101.24,6.87,"pattani",101.2920619,6.7724036
"58","muang",12.2350166038759,1,100.93,13.16,"siracha",100.9637456,13.265534
"73","raman",12.6524664471807,1,101.29,6.55,"yala",101.3885001,6.4918217
"36","karma",13.5630764296964,1,43.77,33.36,"alfallujah",43.9079016,33.3996106
"65","palamau",13.5788652950262,1,78.94,22.07,"chhindwara",78.8863847,21.9580238
"32","j+k",14.3472801443089,1,78.83,20.56,"hinganghat",78.96288,20.593684
"33","jamrud",14.5152423609652,1,71.54,34.01,"peshawar",71.383333,34
"69","pirkoh",14.6919426117787,1,69.15,29.03,"derabugti",69.085474,29.1498264
"64","northcacharhills",15.9180884223056,1,93.166667,25.3,"maibong",93.0175712,25.3478004
"27","hammamalalil",16.4229189309158,1,43.37758,36.27093,"mosul",43.259444,36.158056
"16","darraadamkhel",16.4390307936273,1,71.44,33.6,"kohat",71.5147626,33.7343823
"98","yaha",16.9535719885301,1,101.29,6.55,"yala",101.1504111,6.4866666
"52","matta",17.4936333930731,1,72.36265,34.7795,"mingora",72.4169377,34.9307053
"71","qaim",17.6012638788333,1,40.93,34.45,"abukamal",41.094472,34.368794
"45","latifiyah",18.0622815805495,1,44.22,32.87,"jurfassahr",44.3567602,32.9849902
