"","lon","lat","CityGTD","fake"
"226",35.2136806,31.7721276,"jerusalem",1
"228",46.083333,13.933333,"mudiyah",1
"229",65.5707852,32.640755,"dehrahwod",1
"230",65.054246,31.6230363,"maywand",1
"231",-75.671242,7.893227,"puertolibertador",1
"232",15.291944,-4.267778,"brazzaville",1
"233",28.566667,3.616667,"dungu",1
"234",-77.0469214,38.8048355,"johannesburg",1
"235",-88.0448669,13.89357,"joateca",1
"236",-89.9253233,14.1930802,"jutiapa",1
"237",-89.166667,14.316667,"lapalma",1
"238",-88.45,13.6,"nuevagranada",1
"239",-88.485189,13.8242243,"nuevoedendesanjuan",1
"240",-88.783333,13.683333,"sanestebancatarina",1
"241",8.738417,42.0665819,"tiuccia",1
"242",84.8567932,26.6098139,"eastchamparan",1
"243",91.7362365,26.1445169,"gauhati",1
"244",43.798333,34.4575,"dowr",1
"246",43.7776888,35.2386878,"husseiniyah",1
"247",44.0627452,34.0100968,"ishaqi",1
"249",34.497675,31.47268,"nahaloz",1
"250",40.314,0.051,"dadaab",1
"251",40.872,0.352,"liboi",1
"252",85.0649071,27.1341114,"bara",1
"253",-86.195278,12.931944,"lima",1
"255",67.1318397,24.8256705,"korangi",1
"256",62.0340963,26.1120526,"mand",1
"257",155.1907309,-6.053602,"bougainvilleisland",1
"258",-70.3219334,-15.6505624,"cabana",1
"259",-77.1259843,-12.0508491,"elcallao",1
"260",121.1252135,5.9691815,"joloisland",1
"261",42.073333,0.515556,"afmadow",1
"262",30.8958242,-28.5305539,"natal",1
"263",28.2075,-26.358333,"vosloorus",1
"264",80.1875065,7.5869294,"kurunegalaregion",1
"265",-6.97469,54.41336,"aughnacloy",1
"266",-7.02819,54.46275,"ballygawley",1
"267",-8.09252,54.48001,"belleek",1
"268",-6.0072184,54.5498161,"dunmurry",1
"271",62.933333,33.65,"andar",1
"272",70.1217652,33.509963,"bak",1
"273",68.8108849,36.6306054,"chahardara",1
"275",65.5707852,31.7880105,"khakrez",1
"276",62.7897132,31.528143,"khashrod",1
"278",68.7631916,33.8955188,"saydabad",1
"279",69.989929,33.45715,"yaqubi",1
"280",5.6,36.766667,"elaouana",1
"281",3.683333,36.533333,"kadiria",1
"282",19.966667,-13.65,"venda",1
"283",-70.766667,-33.516667,"maipu",1
"285",-73.8419063,0.869892,"caquetaintendency",1
"286",-69.74533,3.58583,"codazzi",1
"287",-73.6536209,6.6437076,"santander",1
"288",29.45,-1.183333,"rutshuru",1
"289",-88.749444,14.093889,"arcatao",1
"291",-88.1401188,13.790003,"deliciasdeconcepcion",1
"292",-89.0728633,14.1070716,"elparaiso",1
"293",-88.9425836,14.1631729,"lalaguna",1
"294",-88.15,13.85,"meanguera",1
"295",-88.5,13.566667,"mercedesumana",1
"296",-88.573121,13.417486,"sanfranciscojavier",1
"297",-88.9401893,14.0092855,"sanmigueldemercedes",1
"300",74.6868815,34.5052269,"bandipora",1
"301",84.1857115,19.1912221,"gajapati",1
"302",88.2788511,26.8821382,"kurseong",1
"303",92.8577105,26.6738851,"sonitpor",1
"304",97.6114217,4.5224111,"eastacehregency",1
"305",41.716667,36.05,"baaj",1
"306",44.2159065,34.0591105,"dhuluiyah",1
"308",43.683333,33.396389,"saqlawiah",1
"309",20.8659995,42.8913909,"kosovskamitrovica",1
"310",66.075,29.4827778,"dasht",1
"311",71.4,34.321111,"ghalanai",1
"312",70.114444,32.333056,"jandola",1
"313",72.4687152,34.9370602,"khwazakhela",1
"315",71.845274,34.1611735,"sardheri",1
"316",66.3706084,27.3405051,"wadh",1
"317",-74.0667302,-13.7543026,"huancapi",1
"318",-73.1333333,-13.3833333,"huayllapata",1
"319",44.0793911,2.7991084,"burhakaba",1
"320",28.167222,-26.217778,"germiston",1
"322",2.6501603,39.5696005,"palmademallorca",1
"323",80.2962385,8.6655956,"cheddikulam",1
"324",80.4166667,9.5166667,"elephantpass",1
"325",81.2684019,8.4579065,"mutur",1
"326",24.6638251,14.2025174,"alkutum",1
"327",36.106111,32.625278,"daraa",1
"328",101.5475409,6.5930213,"kapho",1
"329",101.4850309,6.8626241,"panare",1
"330",-5.9843935,54.56078,"finaghy",1
"331",-5.9630029,54.677663,"glengormley",1
"332",-5.9878052,54.6292101,"ligoniel",1
"333",-112.0740373,33.4483771,"durban",1
"336",66.05,32.847222,"chora",1
"337",65.6242603,31.6114496,"dand",1
"338",69.8833329,33.3,"gorbaz",1
"339",65.049683,32.270119,"kajaki",1
"340",66.712915,33.0409796,"khasuruzgan",1
"341",68.7,35.95,"pulikhumri",1
"343",13.7319338,-12.4706144,"biopiodam",1
"344",50.6119597,26.162718,"sitra",1
"345",-70.641997,-33.4691199,"southofsantiago",1
"346",-75.3412179,7.1986064,"antioquiap",1
"347",-76.522222,3.420556,"santiagodecali",1
"349",-88.1327991,13.9203429,"arambala",1
"350",-88.9575449,14.1378221,"comalapa",1
"351",-88.1,13.7,"sanfranciscogotera",1
"352",-89.1729807,14.3341209,"sanignacio",1
"353",-88.9234254,13.5023571,"sanrafaelobrajuelo",1
"354",-88.9820696,13.7413116,"santacruzmichapa",1
"355",-88.8563016,13.7190461,"santodomingo",1
"356",-77.0079141,-12.0667244,"villavictoria",1
"357",-88.1266983,13.7652858,"yoloaiquin",1
"358",-90.796127,15.35137,"sanmigueluspantan",1
"359",94.0006003,24.3262003,"chandel",1
"360",93.8858955,24.7827837,"imphalwest",1
"361",76.8259652,34.1490875,"kashmir",1
"362",94.0265,25.2727,"senapati",1
"363",93.495292,24.9879342,"tamenglong",1
"365",45.283333,31.316667,"assamawahh",1
"366",43,36.866667,"duhok",1
"367",44.5407761,33.2231139,"jisrdiyala",1
"368",43.683333,33.396389,"saqlawiyah",1
"369",35.110222,32.483503,"erezcrossing",1
"370",34.904856,31.391171,"eshkolot",1
"371",86.0121573,26.8350474,"dhanusha",1
"372",85.8230251,26.6943279,"mahottari",1
"373",87.1821709,26.6275522,"sunsari",1
"374",-85.9445064,13.3480867,"pantasma",1
"375",-86.1662742,13.5448074,"sanjuandelriococo",1
"376",68.2743064,25.4168681,"jamshoro",1
"377",71.1270268,32.8555005,"maidan",1
"378",72.558932,34.404932,"nawagai",1
"379",71.840833,34.828056,"timergara",1
"380",-76.3637285,-12.9050867,"canete",1
"382",124.883333,6.95,"mlang",1
"383",124.4198243,6.5069401,"sultankudarat",1
"384",-14.9375102,12.8910454,"casamance",1
"385",43.9436788,4.7465849,"ceelbarde",1
"386",46.386111,5.535,"dhusamareb",1
"388",81.5102655,7.8677797,"kiran",1
"389",80.4451687,9.1369885,"mankulam",1
"390",80.05,8.8333333,"murunkan",1
"391",81.8306334,6.8752706,"pottuvil",1
"392",81.5246705,7.9213276,"valachchenai",1
"393",100.5536063,14.6210834,"choirong",1
"394",36.166667,36.2,"hatay",1
"395",-7.0755,54.68872,"greencastle",1
"396",69.273331,34.944168,"bagramairfield",1
"397",69.2817936,32.7156593,"barmal",1
"399",68.6678026,34.472681,"jalrez",1
"400",67.042618,31.57276,"maruf",1
"401",69.0985132,34.2148005,"muhammadagha",1
"402",69.7167783,33.3773561,"nadirshahkot",1
"404",70.3598758,34.4064269,"surkhrod",1
"405",69.1268263,32.8615132,"urgun",1
"406",3.5,36.733333,"tidjelabine",1
"407",4.4386329,36.7339217,"yakouren",1
"408",91.855002,21.8151944,"alkutubdia",1
"409",-46.6333094,-23.5505199,"saopaolo",1
"410",29.3061576,-3.193543,"gihanga",1
"411",102.566667,13.65,"poipet",1
"412",-76.5618277,7.2695925,"pavarando",1
"413",-74.75,7.25,"sergovia",1
"414",28.866667,-2.5,"bukavu",1
"415",27.479444,-11.664722,"lubumbashi",1
"416",28.0742249,-1.4296737,"walikale",1
"418",-88.566667,13.783333,"dolores",1
"419",-90.0314865,13.7129867,"elzapote",1
"420",-98.1363152,19.0718332,"guadalupe",1
"421",-88.5,13.416667,"gualache",1
"422",-88.8922742,14.1803778,"ojosdeagua",1
"423",-88.8922742,13.9655539,"potonico",1
"424",-88.6813935,13.6537746,"sanfelipe",1
"425",-89.7837404,14.0260037,"sanlorenzodam",1
"426",-88.8706944,13.6438499,"verapaz",1
"427",41.5438889,11.2452778,"asmara",1
"428",-90.1922,14.795,"sanaarate",1
"429",79.7399875,15.9128998,"andhrapradesh",1
"430",77.8513786,27.7362406,"baksa",1
"431",78.8410956,24.9430223,"bigha",1
"432",74.6400432,33.9348549,"budgam",1
"433",88.2636394,22.5957689,"howrah",1
"434",93.9674371,24.7806536,"imphaleast",1
"435",81.4272116,17.8364794,"kalimela",1
"436",88.47,27.06,"kalimpong",1
"437",74.9048006,34.2632158,"kangan",1
"438",86.4187308,22.0086978,"mayurbhanj",1
"439",94.3013043,24.251281,"moreh",1
"440",77.2207238,28.6322444,"newdehli",1
"441",86.0121573,22.8561261,"seraikelakharsawan",1
"442",91.9881527,23.9408482,"tripura",1
"443",44.7732994,33.9272709,"abusaydah",1
"444",41.916667,34.468611,"anahh",1
"445",44.5078005,33.7821984,"habhab",1
"447",44.85376,33.67263,"kanan",1
"448",44.1833333,35.5,"qaratapa",1
"449",44.0877118,35.1358494,"rashad",1
"450",44.583333,33.1,"salmanbak",1
"451",35.5876697,32.8244805,"galilee",1
"452",34.284559,31.228281,"keremshalom",1
"453",35.5973754,33.810054,"aley",1
"454",35.6389244,33.9877002,"jounieh",1
"455",35.5931397,33.3579247,"marjayoun",1
"456",15.092017,32.377533,"misrata",1
"457",116.0753199,5.9788398,"sabah",1
"458",83.3789389,27.6264239,"rupandehi",1
"459",-83.7763416,11.5131021,"puntagorda",1
"460",-84.7733325,11.478161,"riosanjuan",1
"461",14.1524147,11.255801,"banki",1
"462",5.18708,5.613867,"escravos",1
"463",14.0394308,12.223953,"gamborungala",1
"464",72.4860955,33.7978438,"ladha",1
"465",71.2963889,34.8777778,"lakaro",1
"466",69.829959,32.6895877,"razmak",1
"467",71.4867333,33.9378609,"sarband",1
"469",71.1047,34.1202,"torkham",1
"470",-78.1414598,-7.7865645,"sanaagoran",1
"471",124.366667,7.516667,"buldon",1
"472",124.183889,7.188889,"dinaig",1
"473",122.9082384,9.8245918,"negrosisland",1
"474",-13.234444,8.484444,"freetowntown",1
"475",45.3862889,2.3583953,"balcad",1
"476",42.283333,2.333333,"bardera",1
"478",27.8765626,-26.2026186,"meadowlands",1
"479",-2.3523692,43.296302,"deva",1
"480",81.2491298,7.9459654,"welikanda",1
"481",71.5545911,37.5031813,"khorog",1
"483",-6.39423,54.19566,"bessbrook",1
"484",-6.92778,54.5439,"cappagh",1
"485",-6.57582,54.08657,"creggan",1
"486",-7.57145,54.19624,"derrylin",1
"487",-6.60069,54.41064,"loughgall",1
"488",0.0500423,52.4546759,"markethill",1
"489",-6.84091,54.29351,"middletown",1
"490",-6.65161,54.34875,"southarmagh",1
"495",67.7811111,33.1044444,"abband",1
"496",70.6961111,34.0538889,"abdulkhel",1
"497",70.4788937,34.7881047,"alingar",1
"498",70.0979491,34.8090546,"alishing",1
"499",64.5333,35.8464,"almar",1
"500",71.2874209,35.7244483,"bargimatal",1
"501",70.4848439,34.4538134,"behsud",1
"502",69.0493364,33.6904981,"charkh",1
"503",71.2755422,34.9282837,"marawara",1
"504",64.116667,31.516667,"marja",1
"505",69.7882627,33.5399109,"musakhel",1
"506",67.237117,36.2035342,"sholgara",1
"507",69.516667,36.716667,"taluqan",1
"508",69.183869,34.536116,"wazirakbarkhan",1
"509",69.0314536,33.4358885,"zurmat",1
"510",4.261944,36.335833,"ahnif",1
"511",3.8947975,36.5504491,"ainzaouia",1
"512",4.661944,36.8825,"beniksila",1
"515",3.814444,36.806667,"ouledaissa",1
"516",18.783333,44.833333,"omerbegovaca",1
"517",29.3598782,-3.4502773,"kanyosha",1
"519",-75.8054552,7.1885428,"lahormiga",1
"520",-72.8988069,7.9462831,"nortedesantander",1
"521",-74.1320705,4.5826131,"samore",1
"522",-73.4460123,4.2320625,"tierraalta",1
"525",-88.4863991,13.5073403,"alegria",1
"526",-88.2166667,13.7666667,"cerrocacahuatique",1
"528",-89.3914251,13.7368599,"ellimon",1
"529",-88.1181559,13.5438827,"latrinidad",1
"530",-87.8979248,13.8025442,"lislique",1
"531",-88.7884686,14.0731548,"nuevatrinidad",1
"532",-88.383412,13.5399448,"sanbuenaventura",1
"533",-88.4076664,13.8092506,"sangerardo",1
"534",-88.7036731,13.4334131,"sannicolaslempa",1
"535",-88.1766993,13.6657907,"yamabal",1
"536",9.2633141,41.3686469,"iledecavallo",1
"537",8.929852,42.6042,"santareparatadibalagna",1
"538",9.399654,41.857045,"solenzara",1
"539",9.0128926,42.0396042,"southerncorsica",1
"540",23.804931,38.0422482,"maroussi",1
"541",-90.535278,14.613333,"gc",1
"542",-91.9209164,14.7922776,"nuevoprogresso",1
"543",75.0173035,33.9250392,"awantipora",1
"544",90.6939122,26.5386619,"chirang",1
"545",81.3839326,18.8456296,"dantewara",1
"546",91.5983959,26.3160819,"kamrup",1
"547",74.9238001,34.0060098,"pampore",1
"548",84.6250199,26.0502233,"saran",1
"549",126.45,-8.466667,"baucau",1
"551",46.9861647,35.3218748,"sanaandaj",1
"552",42.55,33.85,"albaghdadi",1
"553",45.6089774,32.5196997,"alhussainiyah",1
"554",44.533333,33.6666669,"amiriyah",1
"555",43.798333,34.4575,"dawr",1
"556",42.617222,33.591667,"kubaysah",1
"557",44.1577866,33.4627074,"sabaalbor",1
"558",35.0999042,31.5798898,"halhoul",1
"559",34.844675,32.162413,"herzliya",1
"560",34.758355,32.049357,"jaffa",1
"561",35.570246,33.207933,"kiryatshmona",1
"562",12.278939,41.733244,"ostia",1
"563",21.4201362,42.4219233,"cerrnice",1
"564",21.1956273,42.9107754,"podujevava",1
"565",35.4210971,33.1590379,"beityahoun",1
"566",35.4954794,33.8886289,"beruit",1
"568",14.25,-17.9833333,"ovambo",1
"570",87.460397,26.6799002,"morang",1
"572",11.961111,11.744444,"damatura",1
"573",65.2307964,26.4583879,"awaran",1
"574",70.96598,33.7423875,"kalaya",1
"575",69.4816667,28.7936111,"shakai",1
"576",70.5136496,33.8679869,"tirah",1
"577",-79.016667,9.116667,"altobayano",1
"579",-75.5075,-9.036944,"aguaytia",1
"580",-74.128227,-13.6289,"cangallo",1
"581",-76.136711,-13.42553,"chincha",1
"582",-76.5784427,-11.9095906,"corcona",1
"584",-77.396389,-10.403611,"ocros",1
"585",-74.139107,-13.05526,"quinua",1
"586",-74.343857,-13.24994,"vinchos",1
"587",120.7982528,17.5951122,"abra",1
"588",122.0232408,6.6929389,"basilan",1
"589",122.0232408,6.6929389,"basilanisland",1
"590",121.0359174,14.5794443,"mandaluyong",1
"591",124.25,7.466667,"matanog",1
"592",123.85,8.15,"ozamis",1
"593",126.1562026,7.2552217,"pantukan",1
"594",42.2189781,3.3304072,"garbahaareey",1
"595",28.699391,-26.1044823,"botleng",1
"596",28.425,-26.138611,"daveyton",1
"597",29.8779044,-29.931563,"donnybrook",1
"598",27.4,-32.883333,"kingwilliamstown",1
"599",28.4002447,-26.2863716,"kwathema",1
"600",30.8958242,-28.5305539,"kwazulunatal",1
"601",26.816667,-26.316667,"ventersdorf",1
"602",-2.3109203,43.1776439,"azcoitia",1
"603",-2.3315143,43.0523571,"legazpia",1
"604",2.0088747,41.563211,"tarrasa",1
"605",-2.9026256,43.4129291,"urizardelemoniz",1
"606",80.5596582,6.3424847,"deniyaya",1
"607",81.0069928,8.3512634,"kantalai",1
"608",79.810063,9.0828304,"pesalai",1
"609",81.1967958,8.5922,"tricomalee",1
"610",25.35,13.630556,"alfashir",1
"611",101.5020752,6.1757842,"sisakhon",1
"612",101.7297338,6.2977641,"tanyongmas",1
"613",-5.916196,54.5745658,"ballynafeigh",1
"614",-7.871449,54.2964532,"belcoo",1
"615",-6.58726,54.13077,"cullyhanna",1
"616",-6.52781,54.10192,"silverbridge",1
"617",-6.67652,54.57644,"stewartstown",1
