"","CityGTD","DistKM","fake","long","lat.x","name","X","lon","lat.y"
"79","ghourian",0,1,61.47,34.34,"gurian",1135,61.47,34.34
"87","harardhere",0.00486558936887751,1,47.8575,4.6544,"xarardheere",1619,47.8575,4.654444
"142","palmademallorca",0.0464445520852056,1,2.65,39.57,"palma",322,2.6501603,39.5696005
"31","beruit",0.103897634544173,1,35.49442,33.88894,"beirut",566,35.4954794,33.8886289
"213","zaharani",0.103897634544173,1,35.49442,33.88894,"beirut",956,35.4954794,33.8886289
"122","mansoura",0.179934258686092,1,31.38,31.04,"elmansura",1262,31.3784704,31.0409483
"132","nabatia",0.190917100982624,1,35.48389,33.37889,"nabatiyeettahta",1410,35.4838294,33.3771694
"10","antigua",0.192634142118424,1,-90.74,14.56,"guatemalacity",1311,-90.7390245,14.5585411
"96","jiangmeng",0.240308966921169,1,113.08,22.58,"zhongshan",1228,113.081901,22.578738
"90","hatay",0.29975494863492,1,36.17,36.2,"antakya",394,36.166667,36.2
"69","erigavo",0.307089086171779,1,47.36795,10.61616,"ceerigaabo",1618,47.37,10.618056
"27","baydhabo",0.314495223443111,1,43.6498,3.11383,"baidoa",751,43.65,3.116667
"39","calinan",0.360960592786403,1,125.422222,7.185,"davaocity",1039,125.4217,7.188222
"61","elgeneina",0.415566849317661,1,22.44725,13.45262,"geneina",1682,22.45,13.45
"80","ghulamkhan",0.420542570471895,1,70.07117,33.00059,"miranshah",1496,70.0711502,32.9967981
"75","gallarta",0.456574284517278,1,-3.07,43.32,"ortuella",1641,-3.0744407,43.3174749
"16","assamawahh",0.487046299414952,1,45.28,31.32,"assamawah",365,45.283333,31.316667
"174","sanpedrodelovago",0.517267597838892,1,-85.12,12.13,"sanpedrodellovago",1467,-85.116667,12.133333
"8","amritsan",0.701281115378812,1,74.87,31.64,"amritsar",1325,74.8722642,31.6339793
"47","chincha",0.707941190682833,1,-76.14,-13.42,"chinchaalta",581,-76.136711,-13.42553
"26","basilanisland",0.7469783151704,1,122.0168,6.6909,"begang",589,122.0232408,6.6929389
"73","fukouka",0.770023328634569,1,130.41,33.59,"fukuoka",698,130.4017155,33.5903547
"151","poipet",0.812538838805889,1,102.5625,13.65611,"paoypet",411,102.566667,13.65
"51","comayaguela",0.822504733493384,1,-87.22,14.09,"tegucigalpa",1322,-87.2167,14.0833
"25","bardera",0.825175329952212,1,42.28,2.34,"bardere",476,42.283333,2.333333
"138","nuevoprogresso",0.860134351487705,1,-91.92,14.8,"nuevoprogreso",542,-91.9209164,14.7922776
"195","staoueli",0.940700099841629,1,2.89,36.76,"algiers",1206,2.8881795,36.7516507
"91","herzliya",0.949875051243982,1,34.84,32.17,"telaviv",559,34.844675,32.162413
