"","CityGTD","DistKM","fake","long","lat.x","name","X","lon","lat.y"
"33","bousaada",0.0570183524757093,1,4.18,35.21,"busaadah",648,4.1794668,35.2102695
"75","eltortuguero",0.0906560774323394,1,-84.2,12.82,"tortuguero",974,-84.2002101,12.8207931
"35","burhakaba",0.119597801484072,1,44.08,2.8,"burhakkaba",319,44.0793911,2.7991084
"67","edfu",0.221680869337484,1,32.87472,24.98028,"idfu",1260,32.8758199,24.978548
"32","boudoukhane",0.269799466120782,1,3.69474,36.63709,"chabetelameur",1181,3.692227,36.6357449
"163","rashaf",0.273734078957283,1,31.20556,29.33778,"alwasitah",1411,31.2046921,29.3354304
"128","maokeng",0.280664776278268,1,28.22,-25.99,"pretoria",759,28.2190365,-25.992379
"71","elpartido",0.289404403894379,1,-38.5,-12.97,"salvador",668,-38.5014136,-12.9722184
"9","argyroupolis",0.299198320581368,1,23.75035,37.90594,"athens",897,23.753752,37.9059632
"146","pangutaran",0.355111562727034,1,120.5836,6.3032,"simbahan",1594,120.583333,6.3
"109","lagallinera",0.505473913754165,1,-15.41915,27.99243,"telde",1282,-15.4158241,27.995907
"129","markethill",0.520323070006571,1,0.05,52.45,"chatteris",488,0.0500423,52.4546759
"123","maesut",0.564240204982355,1,98.57,16.71,"maesot",1695,98.5746649,16.7124054
"173","sanaarate",0.601794833504428,1,-90.19,14.8,"sanarate",428,-90.1922,14.795
"162","qusayr",0.625067284942277,1,36.57,34.51,"alqusayr",1684,36.576389,34.511944
"6","alhamra",0.667121941883873,1,35.48333,33.9,"beirut",1399,35.4876098,33.8951589
"125","mandaluyong",0.678934563232171,1,121.0409,14.5832,"manila",590,121.0359174,14.5794443
"10","armitsar",0.70128111537651,1,74.87,31.64,"amritsar",1326,74.8722642,31.6339793
"131","moulmein",0.734236188394834,1,97.63,16.49,"mawlamyine",706,97.625833,16.484722
"143","orense",0.817236605151562,1,-7.87,42.33,"ourense",1646,-7.863881,42.3357893
"196","srinager",0.97840561671193,1,74.79,34.09,"srinagar",918,74.7973681,34.0836581
"96","kalimpong",1.0450732005483,1,88.46508,27.06834,"kalimpang",436,88.47,27.06
"81","glengormley",1.0494698952747,1,-5.95,54.68333,"carnmoney",331,-5.9630029,54.677663
"204","tarrasa",1.05664849628028,1,2,41.57,"barcelona",604,2.0088747,41.563211
"68","elcallao",1.0643298491363,1,-77.11814,-12.05659,"lima",259,-77.1259843,-12.0508491
"144","ozamis",1.0678074971419,1,123.8405,8.1481,"ozamizcity",592,123.85,8.15
"30","bendery",1.11127053761054,1,29.47111,46.83056,"bender",1422,29.4620101,46.8227551
"102","kelanitissa",1.18002520942875,1,79.9,6.97,"colombo",1656,79.8972461,6.9803093
"76","erezcrossing",1.20090929356297,1,35.1,32.49,"haifa",369,35.110222,32.483503
"216","x4",1.24133017213084,1,104.92,11.57,"phnompenh",896,104.9196751,11.5812171
"89","jarmundi",1.33368335020817,1,-76.54,3.26,"cali",1237,-76.55,3.266667
"197","sultansabarongis",1.3862228794317,1,124.607222,6.904167,"sadsalan",1599,124.6192702,6.9076531
"40","casabianda",1.44778757570884,1,9.51575,42.1024,"aleria",1301,9.502568,42.093826
"43","cerrogrande",1.48762111845292,1,-88.63,13.88,"sensuntepeque",880,-88.6166667,13.8833333
"2","afmadow",1.56339536370703,1,42.06,0.52,"afmadu",261,42.073333,0.515556
"106","killeter",1.62479805425177,1,-0.21619,51.35788,"london",1716,-0.234618,51.366835
"73","elroblar",1.78450945646532,1,-89.27,13.65,"sansalvador",1276,-89.266271,13.6657119
"72","elrefugio",1.83143567763732,1,-89.7,13.99,"chalchuapa",1275,-89.7074695,13.9751405
"93","kabuntalan",1.84116272871008,1,124.4,7.116667,"bongued",1041,124.383333,7.116667
"1","abonema",1.86423851754782,1,6.79084,4.71131,"portharcourt",1469,6.778846,4.723117
