"","CityGTD","DistKM","fake","long","lat.x","name","X","lon","lat.y"
"159","pulikhumri",0,1,68.7,35.95,"polehumri",341,68.7,35.95
"84","isatown",0.000228584010816846,1,50.54778,26.17361,"madinat`isa",838,50.547778,26.173611
"7","alfashir",0.0615135913203547,1,25.35,13.63,"alfasir",610,25.35,13.630556
"52","dhusamareb",0.123315322568104,1,46.38666,5.53597,"dhuusamarreeb",386,46.386111,5.535
"155","podujevava",0.211004374342559,1,21.19306,42.91056,"podujeva",564,21.1956273,42.9107754
"62","elcarmen",0.219308065201658,1,-86.50571,11.98009,"carlosfonsecaamador",709,-86.5072345,11.9787948
"165","radda",0.302040575748022,1,11.37437,43.4854,"raddainchianti",1743,11.3707623,43.4861003
"132","misrata",0.332969596037379,1,15.09,32.38,"misratah",456,15.092017,32.377533
"1","abara",0.523741159602385,1,47.8169,30.49528,"albasratalqadimah",1363,47.816667,30.5
"21","baqubah",0.617727882651762,1,44.64,33.75,"baqubah",1328,44.633333,33.75
"83","ilocos",0.6343518223913,1,120.7175,18.1655,"piddig",1584,120.7115592,18.1647281
"9","alkuta",0.712196392166935,1,115.17,-8.72,"kuta",1360,115.1752277,-8.7237964
"50","dhakauniversitycampus",0.748885129918745,1,90.3854,23.7298,"dhaka",1215,90.3924947,23.7315492
"171","sanfranciscomorazan",0.753767448378252,1,-91.8,15.12,"tejutla",1318,-91.8062402,15.1231078
"47","daraa",0.776593868752847,1,36.1,32.63,"dara",327,36.106111,32.625278
"82","ilioupolis",0.811861850656989,1,23.76,37.93,"athens",898,23.7692328,37.9298588
"53","diah",0.836976095834075,1,50.53,26.22,"jidhafs",1213,50.5355561,26.2256531
"75","gerona",0.949325002437633,1,2.81,41.98,"girona",763,2.8214264,41.9794005
"207","villava",1.02059109842305,1,-1.6,42.83,"atarrabia",1647,-1.6123283,42.8314377
"88","jerusalem",1.05843552499923,1,35.22,31.78,"jerusalem",226,35.2136806,31.7721276
"49","debathgama",1.07993970139974,1,79.99575,6.42598,"bentota",1650,80.0003875,6.4345732
"6","aley",1.16892628404644,1,35.61,33.81,"beirut",453,35.5973754,33.810054
"168","rio",1.21522707148798,1,-43.2,-22.91,"riodejaneiro",1221,-43.1882863,-22.9116324
"33","bunia",1.33482458150735,1,30.24,1.56,"bunia",664,30.25,1.566667
"202","u",1.33974686240472,1,-116.23,33.72,"indio",688,-116.2155619,33.7205771
"13","azcoitia",1.37475459621007,1,-2.31,43.19,"azkoitia",602,-2.3109203,43.1776439
"122","maguindanao",1.37877513999061,1,124.42556,6.95333,"kitapak",1586,124.4198243,6.9422581
"100","kiryatarba",1.48582303665557,1,35.1,31.53,"qiryatarba",620,35.115625,31.529326
"131","milfield",1.57766995011197,1,-1.68,53.67,"leeds",1719,-1.696713,53.680122
"194","tecpan",1.60371964132607,1,-90.99,14.77,"tecpanguatemala",901,-90.9868468,14.7558344
"45","creggan",1.6229668987818,1,-6.6,54.08333,"crossmaglen",485,-6.57582,54.08657
"174","sanjuandelcarare",1.63005445241352,1,-68.53,-31.54,"sanjuan",1245,-68.5214081,-31.5272732
"10","anbuvalipuram",1.77513400124456,1,81.22,8.58,"trincomalee",1648,81.2119488,8.5939066
"136","muradiyah",1.83416483574637,1,44.92,33.97,"almiqdadiyah",1380,44.936944,33.978611
"128","marquina",1.95747185068098,1,-2.81945,42.95686,"murguia",1645,-2.8162719,42.974325
"193","tanyongmas",1.96470982733542,1,101.73,6.28,"rangae",612,101.7297338,6.2977641
"97","kashgar",2.00632049816058,1,75.97,39.48,"kashi",658,75.989755,39.4704
"208","vivadelmar",2.0247897321061,1,-71.55,-33.01,"vinadelmar",850,-71.5592603,-33.0265062
"134","mizoram",2.04854761971575,1,92.71,23.71,"aizawl",1346,92.7176389,23.727107
"91","jounieh",2.09713877487443,1,35.61778,33.98083,"beirut",454,35.6389244,33.9877002
"92","kabatiya",2.36341032438187,1,35.27112,32.42949,"ashshuhada",1390,35.280093,32.409583
"160","qabatiyah",2.36341032438187,1,35.27112,32.42949,"ashshuhada",697,35.280093,32.409583
"120","losarcos",2.42781007316567,1,-93.083333,16.716667,"copoya",1285,-93.0925048,16.7367461
"74","gc",2.43239000845659,1,-90.55,14.63,"guatemalacity",541,-90.535278,14.613333
"12","athlone",2.47688275709811,1,18.47639,-33.96333,"capetown",755,18.503056,-33.961111
"162","qamishli",2.51664097245696,1,41.23,37.03,"alqamisli",1090,41.216667,37.05
"201","trona",2.83924938511256,1,-117.40395,35.76745,"searlesvalley",618,-117.37309,35.7627371
"32","bouharoun",2.91089317853909,1,2.68,36.64,"algiers",1182,2.6548,36.6234
"152","pandarikulam",2.92696906521037,1,80.49,8.76,"vavuniya",1664,80.4799273,8.7355062
"156","poggiomezzanna",3.03000950700822,1,9.52242,42.38212,"santaluciadimoriani",681,9.492342,42.397834
