"","CityGTD","DistKM","fake","long","lat.x","name","X","lon","lat.y"
"74","gnjilane",0.0442031006222659,1,21.46986,42.46045,"gjilan",946,21.469323,42.4604343
"112","larba",0.0748515059158908,1,3.15434,36.56471,"algiers",822,3.153889,36.565278
"37","clark",0.0916134881059147,1,120.58,15.67,"paniqui",1577,120.5804721,15.6693099
"99","khashrod",0.140687335480377,1,62.79055,31.52919,"khash",276,62.7897132,31.528143
"70","garbahaareey",0.270442883066046,1,42.22091,3.32892,"garbahaarrey",594,42.2189781,3.3304072
"104","kurgantyube",0.300491373905619,1,68.78186,37.83399,"qurghonteppa",772,68.780278,37.836389
"51","deiralbalah",0.324234883603254,1,31.37,31.05,"talkha",1726,31.3709738,31.0528017
"151","ouzra",0.369870895636517,1,4.05,36.72,"tiziwazu",825,4.05,36.716667
"40","comalpa",0.514603571985082,1,-90.88,14.73,"guatemalacity",1312,-90.883333,14.733333
"120","lubumbashi",0.525852291068185,1,27.48,-11.66,"lubumbashi",415,27.479444,-11.664722
"88","jhenaidah",0.567304097062353,1,89.18,23.55,"jhanaydah",1217,89.1753614,23.5528198
"86","jaffa",0.589641805929643,1,34.75224,32.05043,"telaviv",560,34.758355,32.049357
"52","deirmawas",0.632604991422024,1,30.84662,27.64176,"dayrmawas",1259,30.8510692,27.6376503
"23","basilan",0.7469783151704,1,122.0168,6.6909,"begang",588,122.0232408,6.6929389
"187","sanvincentedechucuri",0.82420524316372,1,-73.42,6.89,"sanvicentedechucuri",1247,-73.416667,6.883333
"172","ramna",0.851538800586483,1,90.41426,23.73625,"dhaka",1220,90.408333,23.741667
"133","meigh",0.864065299529461,1,-2.53,53.5,"manchester",1718,-2.518727,53.496115
"121","maalot",0.8921800634,1,35.26667,33.01667,"haifa",939,35.276017,33.015026
"186","santaigo",1.02840740104634,1,-70.64,-33.46,"santiago",849,-70.641997,-33.4691199
"46","dakok",1.03094360492528,1,42.98845,36.86709,"dihuk",930,43,36.866667
"213","walvisbay",1.06799432799345,1,14.5,-22.95,"walvisbay",1639,14.508056,-22.956111
"170","qalqilyahh",1.17205097455051,1,34.97,32.2,"telaviv",941,34.981513,32.196015
