"","CityGTD","DistKM","fake","long","lat.x","name","X","lon","lat.y"
"172","sanfranciscogotera",0,1,-88.1,13.7,"gotera",351,-88.1,13.7
"173","sanfranciscogotera",0,1,-88.1,13.7,"sanfrancisco",351,-88.1,13.7
"124","maaloula",0.0209614121810898,1,36.54689,33.8442,"ma`lula",1683,36.546667,33.844167
"59","deva",0.0685748480479018,1,-2.35213,43.29571,"deba",479,-2.3523692,43.296302
"152","paan",0.194922244207376,1,97.63482,16.88953,"hpaan",961,97.633333,16.890556
"160","podujevavo",0.211004374342559,1,21.19306,42.91056,"podujeva",1395,21.1956273,42.9107754
"78","gorlizelexalde",0.338054423080061,1,-2.93678,43.4149,"elexalde",1642,-2.9326625,43.4153991
"114","laherradura",0.546873657207581,1,-88.95,13.35,"sanluislaherradura",670,-88.9533563,13.3536924
"196","tacachico",0.580645736379146,1,-89.34,13.98,"sanpablotacachico",1297,-89.338745,13.974897
"96","kalazal",0.593440825872736,1,68.41,37,"qalehyezal",796,68.416667,37
"47","cherchell",0.596457909807674,1,2.19,36.61,"sirsall",820,2.196667,36.61
"24","awantipora",0.6164065755752,1,75.01515,33.91978,"srinagar",543,75.0173035,33.9250392
"51","damatura",0.626423852834181,1,11.96,11.75,"damaturu",572,11.961111,11.744444
"198","talipao",0.798378636984898,1,121.106944,5.931389,"marsada",1046,121.1,5.933333
"4","agusandelsur",0.914344742777933,1,125.91,8.61,"bahbah",745,125.916739,8.6051665
"133","maroussi",0.963161800269473,1,23.8,38.05,"athens",540,23.804931,38.0422482
"134","maroussi",0.963161800269473,1,23.8,38.05,"athens",540,23.804931,38.0422482
"204","tichy",0.974728609390251,1,76.21,10.52,"thrissur",1354,76.2144349,10.5276416
"192","sringar",0.978405616725201,1,74.79,34.09,"srinagar",687,74.7973681,34.0836581
"57","dehiwatte",1.01824132466084,1,79.87,6.85,"colombo",1071,79.8629683,6.8559485
"63","duhok",1.03094360492528,1,42.98845,36.86709,"dihuk",366,43,36.866667
"12","alutgama",1.07993970139974,1,79.99575,6.42598,"bentota",1070,80.0003875,6.4345732
"202","thanamandi",1.08142535060271,1,74.38031,33.54228,"thannamandi",1353,74.3694526,33.5387585
"77","ghardimaou",1.14919403598698,1,8.43,36.46,"garaddima",1702,8.433333,36.45
"189","southarmagh",1.2038857596803,1,-6.67,54.35,"armagh",490,-6.65161,54.34875
"16","amatitanarriba",1.27174863886138,1,-103.72,20.83,"guadalajara",1267,-103.731,20.835
"161","porthartcourt",1.33035421072814,1,7,4.78,"portharcourt",1476,6.993333,4.79
"82","hakkariprov",1.37480938571666,1,43.75,37.57,"hakkari",1096,43.736667,37.576389
"106","kingwilliamstown",1.74991800507857,1,27.39,-32.87,"bisho",598,27.4,-32.883333
"208","umtali",1.79358812830364,1,32.65,-18.97,"mutare",784,32.633333,-18.966667
"84","huallaga",1.81147184541384,1,-76.74,-7.17,"juanjui",1538,-76.7380589,-7.1862647
"39","bununu",1.83567525887553,1,9.67,9.87,"bununukasa",1470,9.6814748,9.8820816
"159","plantan",1.95538435590659,1,74.85,32.71,"jammu",686,74.8570259,32.7266016
"117","larosita",1.98055708468348,1,-84.41,13.93,"rosita",1451,-84.4015075,13.9141369
"180","sansimon",2.00794309639731,1,124.571389,8.469722,"baikingon",1294,124.5666828,8.4521818
"131","marjayoun",2.00940742181713,1,35.59,33.34,"marjuyun",455,35.5931397,33.3579247
"211","villedepietrabugno",2.04307227289861,1,9.43966,42.73163,"sanmartinodilota",895,9.4317,42.7142
"88","isasondo",2.09641097642964,1,-2.2,43.07,"beasain",1067,-2.1794136,43.081329
"177","sanjuannonualco",2.15710307810932,1,-88.88,13.51,"zacatecoluca",890,-88.899722,13.507222
"179","sanpaulo",2.29759828085716,1,-46.63,-23.53,"saopaulo",1222,-46.6333094,-23.5505199
"207","tuyong",2.46704504618636,1,101.18,6.85,"nongchik",1700,101.178725,6.8277284
"53","datumontawal",2.59886979440707,1,124.753056,7.080833,"tunggol",1578,124.766667,7.1
"70","elzapote",2.61321890900269,1,-85.67,12.38,"sanlorenzo",975,-85.6678886,12.3564691
"171","sancayetanoistepeque",2.61722537944359,1,-88.79,13.64,"sanvicente",1291,-88.8106915,13.6522533
"216","xesic",2.75531629201638,1,-91.15,15.09,"sanpedrojocopilas",1321,-91.1488,15.065126
"42","chacarilla",2.88670703659572,1,-77.05,-12.11667,"lima",1534,-77.0288967,-12.1008684
"206","tricomalee",2.88880368515858,1,81.22,8.58,"trincomalee",609,81.1967958,8.5922
"86","imphaleast",2.96143295527931,1,93.94,24.79,"imphal",434,93.9674371,24.7806536
"27","ballynafeigh",2.96854873716903,1,-5.93,54.6,"belfast",613,-5.916196,54.5745658
"110","kwathema",3.04723669880498,1,28.37,-26.29,"johannesburg",599,28.4002447,-26.2863716
"137","montanita",3.05977394678434,1,-76.13,6.78,"frontino",859,-76.1348944,6.8072318
"128","mandini",3.16718340338268,1,31.4,-29.13,"sundumbili",1632,31.412158,-29.1565066
"174","sanfranciscojavier",3.22340145855698,1,-88.6,13.43,"sanagustin",296,-88.573121,13.417486
"54","datuunsay",3.32767294129004,1,124.441111,6.948333,"kitango",1579,124.453333,6.920833
"17","amroussa",3.51182015907549,1,2.92,36.52,"algiers",1175,2.9475662,36.4974983
"178","sanmigueldemercedes",3.55965458017195,1,-88.95,14.04,"chalatenango",297,-88.9401893,14.0092855
"200","tecapan",3.56733553591829,1,-88.47,13.48,"santiagodemaria",1298,-88.4912395,13.4553506
"205","tidjelabine",3.59203283546008,1,3.54,36.73,"tinyah",406,3.5,36.733333
"19","anuradhapuraict",3.68242229026394,1,80.41,8.32,"anuradhapura",766,80.3881333,8.3451852
"147","nuevaecija",3.70132381466354,1,120.968,15.7182,"tondod",1591,120.9876321,15.6906831
"81","habhab",3.72569884938201,1,44.53343,33.80809,"khalis",445,44.5078005,33.7821984
"158","peshwar",3.78059198560853,1,71.54,34.01,"peshawar",1006,71.5804899,34.0149748
"176","sanjosevillanueva",3.84506945084126,1,-89.29,13.58,"sansalvador",1292,-89.2609755,13.5599587
"144","muzhichi",3.87234712971591,1,32.82,67.92,"monchegorsk",1606,32.897137,67.9390715
"62","dragas",3.89616307666551,1,20.65333,42.0265,"dragash",1393,20.6511592,42.0615398
"74","fiumorbu",3.91909022247464,1,8.79469,41.98362,"afa",894,8.783941,41.94926
"193","stewartstown",4.18493231436228,1,-6.70166,54.5418,"coalisland",617,-6.67652,54.57644
"93","joloisland",4.18844091265122,1,121.093611,5.99,"mauboh",260,121.1252135,5.9691815
"103","khalidiya",4.20644448255339,1,43.57,33.39,"alhabbaniyah",1378,43.525278,33.384444
"85","huayhuas",4.22495489179146,1,-74.25,-12.95,"huanta",1541,-74.2171989,-12.9705804
"145","nahaloz",4.22548445566286,1,34.46667,31.5,"gaza",249,34.497675,31.47268
"72","emdeni",4.51939548624138,1,27.84,-26.28,"johannesburg",1062,27.8223506,-26.2424404
"118","lasflores",4.62895095679088,1,-89.03,13.5,"sansalvador",884,-89.0406306,13.4594741
"87","irene",4.75727390434922,1,28.18577,-25.85891,"pretoria",1626,28.226347,-25.8811884
"23","asuncion",4.81485953918286,1,125.7553,7.5413,"davaocity",1574,125.766667,7.583333
"175","sanjeronimo",4.92349241540924,1,-86.89,12.43,"leon",984,-86.8628999,12.4656573
"112","lafoole",4.97992877133341,1,45.1212,2.1381,"mogadishu",754,45.1564679,2.1103623
"37","bouchakour",4.98936906528184,1,3.225,35.635,"birine",1180,3.2591667,35.6702778
"210","verapaz",5.1037858955139,1,-88.9,13.68,"sanpedroperulapan",426,-88.8706944,13.6438499
"214","walpita",5.1363275491796,1,80.0626,6.7159,"colombo",1681,80.0869282,6.6763331
"199","tarujabba",5.30073415423991,1,71.78,34.02,"peshawar",1520,71.7236931,34.0107719
