"","CityGTD","DistKM","fake","long","lat.x","name","X","lon","lat.y"
"87","gueltazemmur",0.0757090509445242,1,-12.37168,25.14276,"gueltatzemmour",958,-12.3714463,25.1434095
"204","tizighenif",0.151599240453336,1,3.77445,36.58839,"tizigheniff",833,3.7760446,36.5888512
"120","kurseong",0.160513790010041,1,88.27729,26.882511,"karsiyang",302,88.2788511,26.8821382
"117","kokrajhard",0.210251827266108,1,90.271819,26.399042,"kokrajhar",909,90.27,26.4
"115","kiryatshemona",0.230391620001042,1,35.57,33.21,"qiryatshemona",938,35.570246,33.207933
"116","kiryatshmona",0.230391620001042,1,35.57,33.21,"qiryatshemona",561,35.570246,33.207933
"161","ostia",0.235416224180697,1,12.27654,41.73212,"rome",562,12.278939,41.733244
"191","sitra",0.359259876031459,1,50.61,26.16,"sitrah",344,50.6119597,26.162718
"118","kosovskamitrovica",0.361471752285388,1,20.87,42.89,"kosovskamitrovica",309,20.8659995,42.8913909
"199","tariqibnziyad",0.510406902670932,1,1.04945,35.06544,"frenda",831,1.0547828,35.0640467
"2","abbarah",0.635163558559418,1,47.14399,31.83588,"al`amarah",1364,47.15,31.833333
"61","decani",0.671741087881831,1,20.28793,42.54018,"decan",1392,20.289179,42.5342038
"11","amritsarcity",0.70128111537651,1,74.87,31.64,"amritsar",904,74.8722642,31.6339793
"179","sanjuandelriococo",0.701907287307721,1,-86.17,13.55,"sanjuanderiococo",375,-86.1662742,13.5448074
"172","qatif",0.744195428353587,1,49.99,26.56,"attubi",1051,49.996,26.556
"169","prome",0.793695526947254,1,95.21,18.82,"pyay",1428,95.216667,18.816667
"181","santaelena",0.814512117768243,1,-89.9,16.92,"sanbenito",1319,-89.8926065,16.9181251
"39","castellano",0.823488004539103,1,120.95,15.33,"nieves",1040,120.9446058,15.3247103
"78","freetowntown",0.867090058225245,1,-13.24,8.49,"freetown",474,-13.234444,8.484444
"76","ferozepur",1.02749834541027,1,74.61,30.92,"firozpur",1336,74.6,30.9166
"194","southofsantiago",1.02840740104534,1,-70.64,-33.46,"santiago",345,-70.641997,-33.4691199
"22","banijamra",1.03863112067396,1,50.47,26.21,"albudayyi",836,50.459722,26.211389
"12","anahh",1.13476088104613,1,41.91,34.46,"rawah",444,41.916667,34.468611
"176","sabah",1.14129823865955,1,116.07,5.97,"kotakinabalu",457,116.0753199,5.9788398
"152","moriani",1.16473074552058,1,9.52242,42.38212,"santaluciadimoriani",1307,9.528759,42.3727469
"18","azores",1.17946301867346,1,-25.666667,37.733333,"pontadelgada",749,-25.6755944,37.7412488
"147","milingo",1.20922873281622,1,-89.19,13.74,"sansalvador",885,-89.1914287,13.7508401
"36","cagwait",1.23628507196084,1,126.3112,8.88781,"arasasan",1038,126.301635,8.8936805
"52","cibitokeprov",1.25936254553175,1,29.12,-2.9,"cibitoke",844,29.12,-2.888611
"26","baucau",1.32523008048656,1,126.46,-8.46,"baucau",549,126.45,-8.466667
"97","instanbul",1.39297169462309,1,28.97438,41.01766,"istanbul",1097,28.97696,41.00527
"7","ajaecio",1.3943789736568,1,8.73,41.93,"ajaccio",891,8.738635,41.919229
"86","guasdilito",1.40531922759025,1,-70.74,7.24,"guasdualito",1723,-70.729167,7.246667
"110","kfarroummane",1.43283310483026,1,35.48389,33.37889,"nabatiyeettahta",1408,35.4966059,33.3861763
"212","wazirakbarkhan",1.44271003244547,1,69.17,34.53,"kabul",508,69.183869,34.536116
"174","reasi",1.59129702210496,1,74.83242,33.08115,"riasi",916,74.8448648,33.090954
"185","sharana",1.64080049663099,1,68.78,33.13,"sharan",638,68.7631916,33.1256576
"187","sheikhan",1.8455343360321,1,66.99299,30.19438,"kotmalik",1517,66.9883763,30.1782216
"54","collo",1.84558590338072,1,6.55,37.02,"alqull",649,6.560278,37.005556
"79","garmsir",1.85969767884336,1,64.1934,31.13231,"markazehukumatedarweshan",630,64.212898,31.132511
"133","lima",1.91677995926325,1,-58.50776,-34.47145,"buenosaires",653,-58.5286102,-34.470829
"90","hamad",2.10614221403837,1,50.51,26.11,"madinathamad",1214,50.4980362,26.1256441
"144","megiddojunction",2.12138475310601,1,35.04686,32.69383,"haifa",940,35.068259,32.687627
"207","tverskoy",2.24055495695037,1,37.62,55.75,"moscow",1049,37.6,55.766667
"25","batmaloo",2.69975701236231,1,74.79,34.09,"srinagar",1330,74.7951454,34.0660407
"208","urizardelemoniz",2.77486892065872,1,-2.93678,43.4149,"elexalde",605,-2.9026256,43.4129291
"27","beithanoun",3.01948891619473,1,34.51863,31.56085,"ummannasr",1385,34.53677,31.538483
"158","nuwaidrat",3.11906975359629,1,50.61,26.16,"sitrah",839,50.6,26.133333
"198","tanyongmat",3.12726265168021,1,101.73,6.28,"rangae",1698,101.7409946,6.306051
"75","ergneti",3.22127205040747,1,43.96861,42.22764,"tskhinvali",1308,43.9892499,42.2030309
"74","elpoy",3.22506410920181,1,-89.2,14.4,"antiguaocotepeque",1274,-89.2097434,14.3724423
"29","bessbrook",3.37270254036885,1,-6.35,54.18,"newry",483,-6.39423,54.19566
"130","legata",3.41140268407506,1,3.67,36.72,"issar",823,3.683056,36.748889
"32","bocadecupe",3.45418983663645,1,-77.58,8.08,"capeti",1523,-77.581314,8.048795
"8","alegria",3.50736829600843,1,-88.47,13.48,"santiagodemaria",525,-88.4863991,13.5073403
"149","miravalles",3.58093815069028,1,-5.44,43.48,"villaviciosa",1068,-5.3957548,43.4791228
"73","elporvenir",3.59727573922831,1,-90.5,14.57,"guatemalacity",1313,-90.5092444,14.5387597
