"","name","DistKM","fake","long","lat.x","lon","lat.y","CityGTD"
"1","abdulhakim",32.6566826199502,1,72.11,30.55,71.769662,30.5531453,"sardarpur"
"2","abottabad",4.46111176297643,1,73.2,34.15,73.242439,34.169308,"northwaziristandistrict"
"3","abottabad",4.46111176297643,1,73.2,34.15,73.242439,34.169308,"southwaziristandistrict"
"4","adilpur",5.54560790957411,1,69.31,27.94,69.2914784,27.8927394,"dari"
"5","ahmadpureast",37.6101885340254,1,71.26,29.15,70.9543085,28.9426638,"hakeemabad"
"6","ahmadpurlumma",14.3020438102359,1,70.05,28.32,69.9386562,28.4033888,"rahimabad"
"7","ahmadpursial",14.0939602948171,1,71.76,30.68,71.769662,30.5531453,"sardarpur"
"8","akora",0.7712673045115,1,72.13,34,72.121683,34.000603,"akorakhattak"
"9","akora",0.7712673045115,1,72.13,34,72.121683,34.000603,"akonakhattak"
"10","alipur",48.7607498353573,1,70.9,29.38,70.9543085,28.9426638,"hakeemabad"
"11","alipurchatha",16.5736540668281,1,73.81,32.27,73.8139689,32.1205781,"bhirishahrahman"
"12","alizai",5.12302606366052,1,70.35,33.54,70.3807058,33.5016335,"bagan"
"13","arifwala",9.80147555918544,1,73.07,30.3,73.1371522,30.3665136,"surabdistrict"
"14","attock",8.99133386904625,1,72.36,33.78,72.3944135,33.8558023,"kanra"
"15","badah",11.7648353567711,1,68.02,27.33,67.915103,27.3799987,"naseerabad"
"16","baddomalhi",21.2549817187594,1,74.67,31.98,74.4503645,32.0213761,"gorali"
"17","badin",58.9381845974871,1,68.84,24.66,68.2619753,24.7250574,"sodher"
"18","baffa",10.8035864663175,1,73.22,34.43,73.2010622,34.3338823,"manshera"
"19","baffa",10.8035864663175,1,73.22,34.43,73.2010622,34.3338823,"mansheradistrict"
"20","bagarji",6.73722994253524,1,68.75,27.75,68.818337,27.7501862,"jaffarabaddistrict"
"21","bagarji",6.73722994253524,1,68.75,27.75,68.818337,27.7501862,"jafarabaddistrict"
"22","bahawalnagar",0,1,73.25,30,73.25,30,"bahawalnagardistrict"
"23","bahawalpur",8.6511015104384,1,71.67,29.39,71.6391527,29.4632276,"gharibabad"
"24","baipheru",1.02003073102681,1,73.95,31.2,73.9418603,31.205974,"phoolnagar"
"25","bakshshapur",1.62300825567611,1,69.37,28.39,69.363889,28.376389,"bakhshapur"
"26","bandhi",28.8756933817672,1,68.3,26.6,68.1336554,26.8135409,"nausheroferoz"
"27","bannu",3.04797862377056,1,70.6,32.99,70.5679831,32.9952276,"mamashkhel"
"28","barkhan",6.20534231165636,1,69.51,29.91,69.5737912,29.9032994,"barkhandistrict"
"29","basirpur",0.777383622779037,1,73.83,30.58,73.8380116,30.5789417,"muhammadkhawaja"
"30","batkhela",3.67625552880253,1,71.97,34.62,71.9312421,34.6115452,"khar"
"31","bela",48.8330465969313,1,66.3,26.23,66.5223902,25.837675,"lasbela"
"32","berani",24.824242134471,1,68.8,25.79,68.957685,25.6173657,"khardistrict"
"33","bhag",19.6469643530035,1,67.82,29.04,68.0134705,28.9899892,"bellpat"
"34","bhakkar",0.814416958785725,1,71.06,31.63,71.0626,31.623,"bhakkardistrict"
"35","bhalwal",29.3423348935033,1,72.9,32.27,72.7102791,32.0602981,"mirzai"
"36","bhan",16.3482593274635,1,67.71,26.56,67.5708536,26.6382554,"dadudistrict"
"37","bhawana",1.03050266590083,1,72.65,31.57,72.6555464,31.5779893,"musacolony"
"38","bhera",18.8063609305286,1,72.92,32.48,73.0117665,32.630728,"khawra"
"39","bhiriacity",6.46505982635574,1,68.2,26.92,68.1533539,26.8793134,"mamond"
"40","bhitshah",13.4636966041882,1,68.5,25.8,68.5023571,25.6784877,"khyberdistrict"
"41","bhitshah",13.4636966041882,1,68.5,25.8,68.5023571,25.6784877,"khyber"
"42","bhopalwala",21.525585199804,1,74.37,32.43,74.4181206,32.2402361,"manjipur"
"43","bozdar",8.80192998486815,1,68.63,27.19,68.606599,27.1133723,"pahalwan"
"44","bulri",17.4666228550684,1,68.33,24.87,68.2619753,24.7250574,"sodher"
"45","burewala",27.0113223972529,1,72.67,30.16,72.5910919,29.9262034,"ahmadabad"
"46","chak",13.3269733366598,1,68.83,27.87,68.818337,27.7501862,"jaffarabaddistrict"
"47","chak",13.3269733366598,1,68.83,27.87,68.818337,27.7501862,"jafarabaddistrict"
"48","chakazamsahu",12.3943433736359,1,73.03,30.75,73.1085756,30.6611813,"shahwal"
"49","chakwal",21.6936734916381,1,72.85,32.93,72.6986321,32.7818738,"kachapakka"
