"","name","DistKM","fake","long","lat.x","lon","lat.y","CityGTD"
"1","akkaraipattu",0.940844515904674,1,81.850551,7.227862,81.8497567,7.2193917,"Akkaaraipattu"
"2","akkaraipattu",0.940844515904674,1,81.850551,7.227862,81.8497567,7.2193917,"Akarai Pattu"
"3","akkaraipattu",0.940844515904674,1,81.850551,7.227862,81.8497567,7.2193917,"Akkaraipattu"
"4","akkaraipattu",0.940844515904674,1,81.850551,7.227862,81.8497567,7.2193917,"Akaraipattu"
"5","ambalamgoda",0.470312061284975,1,80.06,6.24,80.0590804,6.2441521,"Ambalangoda"
"6","amparai",2.46210355458975,1,81.67,7.28,81.6747295,7.3017563,"Ampara Town"
"7","amparai",2.46210355458975,1,81.67,7.28,81.6747295,7.3017563,"Amparai"
"8","amparai",2.46210355458975,1,81.67,7.28,81.6747295,7.3017563,"Ampari"
"9","amparai",2.46210355458975,1,81.67,7.28,81.6747295,7.3017563,"Ampara"
"10","anuradhapura",3.68242229008247,1,80.41,8.32,80.3881333,8.3451852,"Anuradapura"
"11","anuradhapura",3.68242229008247,1,80.41,8.32,80.3881333,8.3451852,"Anuradhapuma"
"12","anuradhapura",3.68242229008247,1,80.41,8.32,80.3881333,8.3451852,"Anuradhapura"
"13","anuradhapura",3.68242229008247,1,80.41,8.32,80.3881333,8.3451852,"Anuradhepura District"
"14","anuradhapura",3.68242229008247,1,80.41,8.32,80.3881333,8.3451852,"Anuradnapura"
"15","anuradhapura",3.68242229008247,1,80.41,8.32,80.3881333,8.3451852,"Anuradhapura District"
"16","anuradhapura",3.68242229008247,1,80.41,8.32,80.3881333,8.3451852,"Anuradahapura"
"17","anuradhapura",3.68242229008247,1,80.41,8.32,80.3881333,8.3451852,"Anuradhapura district"
"18","anuradhapura",3.68242229008247,1,80.41,8.32,80.3881333,8.3451852,"Anuradhapura Dist."
"19","anuradhapura",3.68242229008247,1,80.41,8.32,80.3881333,8.3451852,"North Central Anuradhapura"
"20","badulla",0.666665777514554,1,81.05,6.99,81.0549815,6.9934009,"Bubulla"
"21","badulla",0.666665777514554,1,81.05,6.99,81.0549815,6.9934009,"Bandulla District"
"22","badulla",0.666665777514554,1,81.05,6.99,81.0549815,6.9934009,"Badulla"
"23","badulla",0.666665777514554,1,81.05,6.99,81.0549815,6.9934009,"Badulla District"
"24","balangoda",1.95101974039865,1,80.71,6.65,80.7048084,6.6668611,"Balangoda"
"25","bandarawela",2.0581707214296,1,80.98,6.83,80.9981576,6.825878,"Bandarawela"
"26","batticaloa",1.33511010077411,1,81.69,7.71,81.7001087,7.7166377,"Vavunativu"
"27","beruwala",1.49202294557584,1,79.98,6.48,79.9919995,6.4738379,"Beruwela"
"28","chavakachcheri",0.623408128765887,1,80.16,9.66,80.1656377,9.6606881,"Thenmarachchi"
"29","colombo",0.165547032474385,1,79.88,7.08,79.8797813,7.0814809,"Jaela"
"30","dambulla",6.1411821214907,1,80.65,7.85,80.6770787,7.8985219,"Dambulla"
"31","eravur",1.75384623831447,1,81.59,7.77,81.5898016,7.7858571,"Chankaladi Batticaloa"
"32","eravur",1.75384623831447,1,81.59,7.77,81.5898016,7.7858571,"Chenkaladi"
"33","eravur",1.75384623831447,1,81.59,7.77,81.5898016,7.7858571,"Chenkalady"
"34","galle",1.27599528834135,1,80.21,6.05,80.2209773,6.0535185,"Galle"
"35","gampola",4.600089396568,1,80.57,7.17,80.5657536,7.2113785,"Bambradeniya"
"36","halawata",8.86939487685154,1,79.81,7.57,79.8737168,7.5211236,"Uraliya"
"37","hambantota",1.27925555498753,1,81.12,6.13,81.1085744,6.1317421,"Hambantota"
"38","hambantota",1.27925555498753,1,81.12,6.13,81.1085744,6.1317421,"Hambamtota"
"39","haputale",6.91917386157876,1,80.97,6.77,80.9981576,6.825878,"Bandarawela"
"40","hatton",4.42208614624877,1,80.6,6.89,80.6049374,6.9296806,"Kotawila"
"41","jaffna",1.94819507706967,1,80.01,9.67,80.0255465,9.6614981,"Jaffna Town"
"42","jaffna",1.94819507706967,1,80.01,9.67,80.0255465,9.6614981,"town of Jaffna"
"43","jaffna",1.94819507706967,1,80.01,9.67,80.0255465,9.6614981,"Jaffija*"
"44","jaffna",1.94819507706967,1,80.01,9.67,80.0255465,9.6614981,"Jaffna"
"45","jaffna",1.94819507706967,1,80.01,9.67,80.0255465,9.6614981,"Elephant Pass and Jaffna town"
"46","jaffna",1.94819507706967,1,80.01,9.67,80.0255465,9.6614981,"North Jaffna Peninsula"
"47","jaffna",1.94819507706967,1,80.01,9.67,80.0255465,9.6614981,"Jaffra"
"48","jaffna",1.94819507706967,1,80.01,9.67,80.0255465,9.6614981,"Jaffna,"
"49","jaffna",1.94819507706967,1,80.01,9.67,80.0255465,9.6614981,"Jaffna area"
"50","jaffna",1.94819507706967,1,80.01,9.67,80.0255465,9.6614981,"Valikamam South, Jaffna"
"51","jaffna",1.94819507706967,1,80.01,9.67,80.0255465,9.6614981,"Jaffna district"
"52","jaffna",1.94819507706967,1,80.01,9.67,80.0255465,9.6614981,"jaffna"
"53","jaffna",1.94819507706967,1,80.01,9.67,80.0255465,9.6614981,"Jaffna Area"
"54","jaffna",1.94819507706967,1,80.01,9.67,80.0255465,9.6614981,"Northern Jaffna Town"
"55","jaffna",1.94819507706967,1,80.01,9.67,80.0255465,9.6614981,"Pottuvil, Jaffna"
"56","jaffna",1.94819507706967,1,80.01,9.67,80.0255465,9.6614981,"Jaffna (District)"
"57","jaffna",1.94819507706967,1,80.01,9.67,80.0255465,9.6614981,"Jaffna District"
"58","jaffna",1.94819507706967,1,80.01,9.67,80.0255465,9.6614981,"Lahugalla, Jaffna"
"59","jaffna",1.94819507706967,1,80.01,9.67,80.0255465,9.6614981,"Palaly Air Base, Jaffna"
"60","jaffna",1.94819507706967,1,80.01,9.67,80.0255465,9.6614981,"Jaffni"
"61","kadugannawa",0.564652490976233,1,80.52,7.25,80.5188396,7.2549725,"Kadugannawa"
"62","kalmunai",1.27002488480708,1,81.82,7.41,81.8306334,7.4143831,"Kalmuni"
"63","kalmunai",1.27002488480708,1,81.82,7.41,81.8306334,7.4143831,"Maamunai"
"64","kalmunai",1.27002488480708,1,81.82,7.41,81.8306334,7.4143831,"Kalmunai P."
"65","kalmunai",1.27002488480708,1,81.82,7.41,81.8306334,7.4143831,"Kalmunai"
"66","kalutara",2.30273623567255,1,79.96,6.59,79.9808143,6.5894162,"Kalutara"
"67","kandy",0.416293495249432,1,80.63,7.29,80.6337262,7.2905715,"Kandy Town"
"68","kandy",0.416293495249432,1,80.63,7.29,80.6337262,7.2905715,"Kandy"
"69","kandy",0.416293495249432,1,80.63,7.29,80.6337262,7.2905715,"Kandy town"
"70","katankudi",0.124044953444785,1,81.73,7.69,81.7294702,7.6890107,"Kathankudi"
"71","katankudi",0.124044953444785,1,81.73,7.69,81.7294702,7.6890107,"Kattankudy"
"72","katankudi",0.124044953444785,1,81.73,7.69,81.7294702,7.6890107,"Kanhankudy"
"73","katankudi",0.124044953444785,1,81.73,7.69,81.7294702,7.6890107,"Chittankudy"
"74","katankudi",0.124044953444785,1,81.73,7.69,81.7294702,7.6890107,"Kathankudy"
"75","katankudi",0.124044953444785,1,81.73,7.69,81.7294702,7.6890107,"Kattankudi"
"76","kegalla",0.426517137392324,1,80.35,7.25,80.3463754,7.2513317,"Kegalle"
"77","keselwatta",3.60309307860271,1,79.95,6.6,79.9808143,6.5894162,"Kalutara"
"78","kilinochchi",4.22979759205922,1,80.41,9.4,80.3769999,9.3802886,"Kilirochci"
"79","kilinochchi",4.22979759205922,1,80.41,9.4,80.3769999,9.3802886,"Ulichchi"
"80","kilinochchi",4.22979759205922,1,80.41,9.4,80.3769999,9.3802886,"Kilirochchi"
"81","kilinochchi",4.22979759205922,1,80.41,9.4,80.3769999,9.3802886,"Kilinochchi"
"82","kilinochchi",4.22979759205922,1,80.41,9.4,80.3769999,9.3802886,"Kilonchchi"
"83","kilinochchi",4.22979759205922,1,80.41,9.4,80.3769999,9.3802886,"Lilinochchi"
"84","kilinochchi",4.22979759205922,1,80.41,9.4,80.3769999,9.3802886,"Kilinochchi District"
"85","kilinochchi",4.22979759205922,1,80.41,9.4,80.3769999,9.3802886,"Killinochchi"
"86","kuliyapitiya",12.570817924735,1,80.04,7.47,80.1307583,7.4013451,"Muthugala"
"87","kurunegala",2.377016349447,1,80.36,7.5,80.3728245,7.4827332,"Athugala"
"88","mannarama",2.39920860670995,1,79.89,8.97,79.8800832,8.9893222,"mannar"
"89","mannarama",2.39920860670995,1,79.89,8.97,79.8800832,8.9893222,"Mannar"
"90","matale",0.469874917658749,1,80.62,7.47,80.6234161,7.467465,"Matale"
"91","matara",2.04026002390252,1,80.53,5.96,80.5480118,5.9561063,"Walpola"
"92","monaragala",2.33810139736287,1,81.35,6.87,81.3454417,6.8906454,"Monarangala"
"93","monaragala",2.33810139736287,1,81.35,6.87,81.3454417,6.8906454,"Moneragala"
"94","monaragala",2.33810139736287,1,81.35,6.87,81.3454417,6.8906454,"Monaragala"
"95","mullaitivu",0.269871143657195,1,80.8166667,9.2666667,80.814248,9.2670911,"Mullaithivu"
"96","mullaitivu",0.269871143657195,1,80.8166667,9.2666667,80.814248,9.2670911,"Mullathivu"
"97","mullaitivu",0.269871143657195,1,80.8166667,9.2666667,80.814248,9.2670911,"Mullaitiiri"
"98","mullaitivu",0.269871143657195,1,80.8166667,9.2666667,80.814248,9.2670911,"Malihathivu"
"99","mullaitivu",0.269871143657195,1,80.8166667,9.2666667,80.814248,9.2670911,"Muilaitivu"
"100","mullaitivu",0.269871143657195,1,80.8166667,9.2666667,80.814248,9.2670911,"Kullapadu-Mullaitivu"
"101","mullaitivu",0.269871143657195,1,80.8166667,9.2666667,80.814248,9.2670911,"Hullaitivu"
"102","mullaitivu",0.269871143657195,1,80.8166667,9.2666667,80.814248,9.2670911,"Mullativa"
"103","mullaitivu",0.269871143657195,1,80.8166667,9.2666667,80.814248,9.2670911,"Mullaittivu"
"104","mullaitivu",0.269871143657195,1,80.8166667,9.2666667,80.814248,9.2670911,"Mullaitivu"
"105","mullaitivu",0.269871143657195,1,80.8166667,9.2666667,80.814248,9.2670911,"Millaitivu"
"106","nawalapitiya",1.64779543350579,1,80.53,7.05,80.5160608,7.0447008,"Nawalapitiya"
"107","nuwaraeliya",3.14541717657102,1,80.77,6.98,80.7824012,6.9543992,"Nuwars Eliya"
"108","pointpedro",3.06347621110603,1,80.23,9.82,80.2209773,9.7937885,"Point Petro"
"109","pointpedro",3.06347621110603,1,80.23,9.82,80.2209773,9.7937885,"Point Pedro, Jaffna"
"110","pointpedro",3.06347621110603,1,80.23,9.82,80.2209773,9.7937885,"Point Pedro port"
"111","pointpedro",3.06347621110603,1,80.23,9.82,80.2209773,9.7937885,"Point Pedro"
"112","polonnaruwa",0.41325632479475,1,81,7.9333333,81.0036821,7.9326358,"north-central Polonnaruwa dist."
"113","polonnaruwa",0.41325632479475,1,81,7.9333333,81.0036821,7.9326358,"Polonnaruwa District"
"114","polonnaruwa",0.41325632479475,1,81,7.9333333,81.0036821,7.9326358,"Polonnaruwa"
"115","polonnaruwa",0.41325632479475,1,81,7.9333333,81.0036821,7.9326358,"Polonnaruwa dist."
"116","polonnaruwa",0.41325632479475,1,81,7.9333333,81.0036821,7.9326358,"Polonnaruua"
"117","puttalama",2.30172326888326,1,79.82,8.04,79.8408787,8.0402828,"Puttalam"
"118","ratnapura",0.955547539811062,1,80.38,6.7,80.3769999,6.7081032,"Ratnapura"
