"","pop","country.etc","name","lat","long","capital","Region","largestC"
"57917",15017783,"china","shanghai",31.23,121.47,"2",NA,1
"57916",12883645,"india","mumbai",18.96,72.82,"0",NA,1
"57915",12692717,"india","bombay",18.975,72.825833,NA,"16",1
"57914",11969284,"pakistan","karachi",24.86,67.01,"0",NA,1
"57913",11595183,"argentina","buenosaires",-34.61,-58.37,"1",NA,1
"57912",11215130,"india","delhi",28.67,77.21,"1",NA,0
"57911",10928270,"india","newdelhi",28.6,77.2,"1","7",0
"57910",10546511,"philippines","manila",14.62,120.97,"1",NA,1
"57909",10472629,"russianfederation","moscow",55.75,37.62,"1",NA,1
"57908",10409345,"korearep","seoul",37.56,126.99,"1",NA,1
"57907",10059502,"brazil","saopaulo",-23.53,-46.63,"0",NA,1
"57906",10034830,"turkey","istanbul",41.1,29,"0",NA,1
"57905",9020089,"nigeria","lagos",6.45,3.47,"0",NA,1
"57904",8720916,"mexico","mexico",19.434167,-99.138611,"1","9",1
"57903",8659409,"mexico","mexicocity",19.43,-99.14,"1",NA,1
"57902",8556798,"indonesia","jakarta",-6.18,106.83,"1",NA,1
"57901",8372440,"japan","tokyo",35.67,139.77,"1",NA,1
"57900",8124427,"unitedstates","newyork",40.67,-73.94,"0",NA,1
"57899",8096254,"congodemrep","kinshasa",-4.31,15.32,"1",NA,1
"57898",7857121,"peru","lima",-12.07,-77.05,"1",NA,1
"57897",7836243,"egyptarabrep","cairo",30.06,31.25,"1",NA,1
"57896",7602069,"china","beijing",39.93,116.4,"1",NA,0
"57895",7489022,"unitedkingdom","london",51.52,-0.1,"1",NA,1
"57894",7480601,"china","peking",39.928889,116.388333,"1","22",0
"57893",7235084,"colombia","bogota",4.63,-74.09,"1",NA,1
"57892",7160094,"iranislamicrep","tehran",35.67,51.43,"1","1",1
"57891",6724976,"bangladesh","dhaka",23.7,90.39,"1",NA,1
"57890",6485175,"pakistan","lahore",31.56,74.35,"0",NA,0
"57889",6055582,"brazil","riodejaneiro",-22.91,-43.2,"0",NA,0
"57888",5753612,"iraq","baghdad",33.33,44.44,"1",NA,1
"57887",5104047,"india","bangalore",12.97,77.56,"0",NA,0
"57886",4935988,"thailand","bangkok",13.73,100.5,"1",NA,1
"57885",4893495,"chile","santiago",-33.46,-70.64,"1",NA,1
"57884",4670783,"canada","toronto",43.65,-79.38,"0",NA,1
"57883",4638350,"india","calcutta",22.57,88.36,"0",NA,0
"57882",4572948,"myanmar","rangoon",16.79,96.15,"1",NA,1
"57881",4444513,"australia","sydney",-33.87,151.21,"0",NA,1
"57880",4352932,"india","madras",13.09,80.27,"0",NA,0
"57879",4328067,"saudiarabia","riyadh",24.65,46.77,"1",NA,1
"57878",4236023,"china","wuhan",30.58,114.27,"3",NA,0
"57877",4133663,"china","chongqing",29.57,106.58,"2",NA,0
"57876",4091916,"china","xian",34.27,108.9,"0",NA,0
"57875",4014710,"russianfederation","saintpetersburg",59.93,30.32,"0",NA,0
"57874",3961709,"china","chengdu",30.67,104.07,"3",NA,0
"57873",3911500,"unitedstates","losangeles",34.11,-118.41,"0",NA,0
"57872",3865502,"egyptarabrep","alexandria",31.22,29.95,"0",NA,0
"57871",3796677,"cotedivoire","abidjan",5.33,-4.03,"0",NA,1
"57870",3795034,"bangladesh","chattagam",22.33,91.81,"0",NA,0
"57869",3780871,"australia","melbourne",-37.81,144.96,"0",NA,0
"57868",3769846,"india","ahmadabad",23.03,72.58,"0",NA,0
"57867",3761272,"china","tianjin",39.13,117.2,"2",NA,0
"57866",3739214,"nigeria","kano",12,8.52,"0",NA,0
"57865",3707361,"nigeria","ibadan",7.38,3.93,"0",NA,0
"57864",3672732,"korearep","pusan",35.11,129.03,"0",NA,0
"57863",3632094,"india","hyderabad",17.4,78.48,"0",NA,0
"57862",3603710,"japan","yokohama",35.47,139.62,"0",NA,0
"57861",3601745,"singapore","singapore",1.3,103.85,"1",NA,1
"57860",3579706,"turkey","ankara",39.93,32.85,"1",NA,0
"57859",3546429,"southafrica","capetown",-33.93,18.46,"0",NA,1
"57858",3538726,"china","shenyang",41.8,123.45,"3",NA,0
"57857",3496586,"vietnam","hochiminhcity",10.78,106.69,"0",NA,1
"57856",3378275,"germany","berlin",52.52,13.38,"1",NA,1
"57855",3280123,"canada","montreal",45.52,-73.57,"0",NA,0
"57854",3279454,"china","harbin",45.75,126.65,"3",NA,0
"57853",3244028,"southafrica","durban",-29.87,30.99,"0",NA,0
"57852",3177281,"morocco","casablanca",33.6,-7.62,"0",NA,1
"57851",3160179,"china","nanjing",32.05,118.78,"3",NA,0
"57850",3158125,"china","guangzhou",23.12,113.25,"3",NA,0
"57849",3146804,"spain","madrid",40.42,-3.71,"1",NA,1
"57848",3120963,"afghanistan","kabul",34.53,69.17,"1",NA,1
"57847",3043128,"india","pune",18.53,73.84,"0",NA,0
"57846",3022821,"india","surat",21.2,72.82,"0",NA,0
"57845",2992272,"koreademrep","pyongyang",39.02,125.75,"1",NA,1
"57844",2970099,"sudan","ummdurman",15.65,32.48,"0",NA,1
"57843",2934584,"saudiarabia","jiddah",21.5,39.17,"0",NA,0
"57842",2898859,"india","kanpur",26.47,80.33,"0",NA,0
"57841",2875277,"angola","luanda",-8.82,13.24,"1",NA,1
"57840",2864667,"kenya","nairobi",-1.29,36.82,"1",NA,1
"57839",2830144,"unitedstates","chicago",41.84,-87.68,"0",NA,0
"57838",2823167,"ethiopia","addisabeba",9.03,38.74,"1",NA,1
"57837",2817522,"india","jaipur",26.92,75.8,"0",NA,0
"57836",2805523,"tanzania","daressalaam",-6.82,39.28,"0",NA,1
"57835",2762758,"brazil","salvador",-12.97,-38.5,"0",NA,0
"57834",2752516,"china","taiyuan",37.87,112.55,"3",NA,0
"57833",2723378,"somalia","mogadishu",2.05,45.33,"1",NA,1
"57832",2618428,"korearep","inchon",37.48,126.64,"0",NA,0
"57831",2602574,"china","changchun",43.87,125.35,"3",NA,0
"57830",2590815,"japan","osaka",34.68,135.5,"0",NA,0
"57829",2582175,"pakistan","faisalabad",31.41,73.11,"0",NA,0
"57828",2580024,"korearep","taegu",35.87,128.6,"0",NA,0
"57827",2561181,"italy","rome",41.89,12.5,"1",NA,1
"57826",2557851,"turkey","izmir",38.43,27.15,"0",NA,0
"57825",2541101,"india","lakhnau",26.85,80.92,"0",NA,0
"57824",2491662,"china","taipei",25.02,121.45,"1",NA,1
"57823",2491404,"ukraine","kiev",50.43,30.52,"1",NA,1
"57822",2468625,"egyptarabrep","gizeh",30.01,31.21,"0",NA,0
"57821",2445713,"colombia","cali",3.44,-76.52,"0",NA,0
"57820",2406598,"senegal","dakar",14.72,-17.48,"1",NA,1
"57819",2399577,"brazil","belohorizonte",-19.92,-43.94,"0",NA,0
"57818",2387734,"iranislamicrep","mashhad",36.27,59.57,"0",NA,0
"57817",2366850,"indonesia","surabaya",-7.24,112.74,"0",NA,0
"57816",2349632,"brazil","fortaleza",-3.78,-38.59,"0",NA,0
"57815",2272891,"india","nagpur",21.16,79.08,"0",NA,0
"57814",2260541,"brazil","brasilia",-15.78,-47.91,"1",NA,0
"57813",2253437,"dominicanrepublic","santodomingo",18.48,-69.91,"1",NA,1
"57812",2194748,"japan","nagoya",35.15,136.91,"0",NA,0
"57811",2163132,"cuba","havanna",23.13,-82.39,"1",NA,1
"57810",2143094,"iraq","al-mawsil",36.34,43.14,"0",NA,0
"57809",2141839,"france","paris",48.86,2.34,"1",NA,1
"57808",2141270,"iraq","al-basrah",30.5,47.83,"0",NA,0
"57807",2131620,"china","changsha",28.2,112.97,"3",NA,0
"57806",2109987,"china","jinan",36.67,117,"3",NA,0
"57805",2091491,"southafrica","johannesburg",-26.19,28.04,"0",NA,0
"57804",2090001,"sudan","khartoum",15.58,32.52,"1",NA,0
"57803",2080120,"china","shijiazhuang",38.05,114.48,"3",NA,0
"57802",2076179,"china","dalian",38.92,121.65,"0",NA,0
"57801",2043005,"unitedstates","houston",29.77,-95.39,"0",NA,0
"57800",2029936,"algeria","algiers",36.77,3.04,"1",NA,1
"57799",2029143,"ghana","accra",5.56,-0.2,"1",NA,1
"57798",2023495,"china","zhengzhou",34.75,113.67,"3",NA,0
"57797",2021392,"colombia","medellin",6.29,-75.54,"0",NA,0
"57796",2000482,"venezuelarb","maracaibo",10.73,-71.66,"0",NA,1
"57795",1983415,"china","jiulong",22.32,114.17,"0",NA,0
"57794",1970382,"guinea","conakry",9.55,-13.67,"1",NA,1
"57793",1967879,"uzbekistan","tashkent",41.31,69.3,"1",NA,1
