"","name","country.etc","pop","lat","long","capital","Region"
"12286","shanghai","china",15017783,31.23,121.47,"2",NA
"35944","mumbai","india",12883645,18.96,72.82,"0",NA
"34159","bombay","india",12692717,18.975,72.825833,NA,"16"
"55061","karachi","pakistan",11969284,24.86,67.01,"0",NA
"794","buenosaires","argentina",11595183,-34.61,-58.37,"1",NA
"34423","delhi","india",11215130,28.67,77.21,"1",NA
"36126","newdelhi","india",10928270,28.6,77.2,NA,"7"
"59920","manila","philippines",10546511,14.62,120.97,"1",NA
"70214","moscow","russianfederation",10472629,55.75,37.62,"1",NA
"44729","seoul","korearep",10409345,37.56,126.99,"1",NA
"7899","saopaulo","brazil",10059502,-23.53,-46.63,"0",NA
"81027","istanbul","turkey",10034830,41.1,29,"0",NA
"53056","lagos","nigeria",9020089,6.45,3.47,"0",NA
"49226","mexico","mexico",8720916,19.434167,-99.138611,NA,"9"
"49227","mexicocity","mexico",8659409,19.43,-99.14,"1",NA
"37709","jakarta","indonesia",8556798,-6.18,106.83,"1",NA
"43366","tokyo","japan",8372440,35.67,139.77,"1",NA
"88576","newyork","unitedstates",8124427,40.67,-73.94,"0",NA
"15130","kinshasa","congodemrep",8096254,-4.31,15.32,"1",NA
"56976","lima","peru",7857121,-12.07,-77.05,"1",NA
"19405","cairo","egyptarabrep",7836243,30.06,31.25,"1",NA
"11300","beijing","china",7602069,39.93,116.4,"1",NA
"84642","london","unitedkingdom",7489022,51.52,-0.1,"1",NA
"12170","peking","china",7480601,39.928889,116.388333,NA,"22"
"13057","bogota","colombia",7235084,4.63,-74.09,"1",NA
"38752","tehran","iranislamicrep",7160094,35.67,51.43,"1","1"
"2885","dhaka","bangladesh",6724976,23.7,90.39,"1",NA
"55139","lahore","pakistan",6485175,31.56,74.35,"0",NA
"7588","riodejaneiro","brazil",6055582,-22.91,-43.2,"0",NA
"38822","baghdad","iraq",5753612,33.33,44.44,"1",NA
"33841","bangalore","india",5104047,12.97,77.56,"0",NA
"79599","bangkok","thailand",4935988,13.73,100.5,"1",NA
"11178","santiago","chile",4893495,-33.46,-70.64,"1",NA
"10606","toronto","canada",4670783,43.65,-79.38,"0",NA
"34192","calcutta","india",4638350,22.57,88.36,"0",NA
"50970","rangoon","myanmar",4572948,16.79,96.15,"1",NA
"1990","sydney","australia",4444513,-33.87,151.21,"0",NA
"35671","madras","india",4352932,13.09,80.27,"0",NA
"73595","riyadh","saudiarabia",4328067,24.65,46.77,"1",NA
"12499","wuhan","china",4236023,30.58,114.27,"3",NA
"11385","chongqing","china",4133663,29.57,106.58,"2",NA
"12517","xian","china",4091916,34.27,108.9,"0",NA
"71296","saintpetersburg","russianfederation",4014710,59.93,30.32,"0",NA
"11371","chengdu","china",3961709,30.67,104.07,"3",NA
