"","merge","lng","lat","population"
"1","Abaarey, somalia","47.47417","7.07722","0"
"2","Abadiano, spain","-2.63333","43.1","0"
"3","Aclan, philippines","125.31194","8.99139","0"
"4","Adampan, srilanka","80.5561","9.0475","0"
"5","Aduna, spain","-2.04937","43.20156","0"
"6","Affiniam, senegal","-16.36278","12.65444","0"
"7","Agbopura, srilanka","80.9794","8.3249","0"
"8","Aginaga, spain","-2.30888","43.11826","0"
"9","Aguid, philippines","120.8936","17.123","0"
"10","Ahangama, srilanka","80.3616","5.9744","0"
"11","Aia, spain","-4.10677","37.97422","3910"
"12","Akurugoda, srilanka","81.2914","6.2861","0"
"13","Alab, philippines","120.9396","17.058","0"
"14","Alampil, srilanka","80.85","9.15","0"
"15","Alava, spain","-2.67268","42.84998","235661"
"16","Alaveddi, srilanka","80.0082","9.7685","0"
"17","Alinchipotana, srilanka","81.13333","7.95","0"
"18","Allaipiddy, srilanka","79.9649","9.6224","0"
"19","Alobo, philippines","122.0965","13.4741","0"
"20","Aluthgoda, srilanka","80.6981","6.1473","0"
"21","Ambalantota, srilanka","81.0214","6.1196","0"
"22","Anzuola, spain","-2.37998","43.09725","0"
"23","Arachchikattuwa, srilanka","79.835","7.6671","0"
"24","Armena, philippines","123.3307","9.6572","0"
"25","Awao, philippines","126.0005","7.9543","0"
"26","Ayala, philippines","120.65","13.86667","0"
"27","Azpiroz, spain","-1.93256","43.029","0"
"28","Bacaadweyn, somalia","47.52611","7.19194","0"
"29","Badalkumbura, srilanka","81.2396","6.8922","0"
"30","Badhan, somalia","48.33591","10.71422","0"
"31","Bagoinged, philippines","124.71639","7.01389","0"
"32","Baila, senegal","-15.8","13.9","0"
"33","Balagtasan, philippines","120.95266","13.82863","0"
"34","Ballang, philippines","121.79184","18.24842","0"
"35","Balmaseda, spain","-3.21392","43.20035","0"
"36","Banag-Banag, philippines","123.70333","13.37889","2775"
"37","Bandaraduwa, srilanka","81.56667","7.43333","0"
"38","Banjica, serbia","19.64892","43.49782","0"
"39","Banolas, spain","2.76667","42.11667","18327"
"40","Baqueira-Beret, spain","0.93165","42.6996","0"
"41","Baraka Bounao, senegal","-16.19333","12.49528","0"
"42","Bardaale, somalia","47.87139","7.06611","0"
"43","Barrundia, spain","-2.55","42.9","0"
"44","Batapola, srilanka","80.1254","6.2216","0"
"45","Batino, philippines","121.13437","14.20196","0"
"46","Bebe Anac, philippines","120.70225","14.87902","0"
"47","Berastegui, spain","-1.98019","43.12423","0"
"48","Berdaale, somalia","47.87139","7.06611","0"
"49","Bibile, srilanka","81.2192","7.1577","0"
"50","Binacalan, philippines","123.91667","13.28333","0"
"51","Bir Daqiq, sudan","22.48486","13.70348","0"
"52","Bisbal De Falset, spain","0.71667","41.26667","240"
"53","Bofa, Casamance, senegal","-16.13361","12.49056","0"
"54","Boralesgamuwa, srilanka","79.9104","6.8382","0"
"55","Borawewa, srilanka","80.66667","8.26667","0"
"56","Borba de Godim, portugal","-8.13739","41.32489","0"
"57","Borges Blanques, spain","0.91667","41.51667","0"
"58","Borovica, serbia","17.03898","44.3051","0"
"59","Bowatte, srilanka","80.624","7.4184","0"
"60","Brar, philippines","124.325","7.01722","0"
"61","Bujic, serbia","21.6034","42.33708","0"
"62","Bulinga, rwanda","29.7015","-1.9981","0"
"63","Bungwe, rwanda","30.13182","-1.51798","0"
"64","Burco, somalia","45.53363","9.52213","99270"
"65","Burguete, spain","-1.33333","42.98333","323"
"66","Burlada, spain","-1.61671","42.82562","18178"
"67","Busdongo, spain","-5.7","42.98333","0"
"68","Butara, rwanda","29.80258","-2.31609","0"
"69","Buufow, somalia","44.74372","1.74928","0"
"70","Buur Dhuxunle, somalia","43.2461","4.0548","0"
"71","Bwiza, rwanda","29.707","-2.5098","0"
"72","Caabudwaaq, somalia","46.39639","6.14778","0"
"73","Cabagnaan, philippines","123.1182","10.3643","0"
"74","Cabayugan, philippines","120.35","15.73333","0"
"75","Cadalian, philippines","125.37611","7.14944","0"
"76","Calapagan, philippines","121.73497","18.03484","0"
"77","Calla, spain","-4.68052","36.5022","0"
"78","Cantabria, spain","-3.80444","43.46472","182700"
"79","Carabanchel Alto, spain","-3.75003","40.36797","0"
"80","Carretonan, philippines","120.65","13.83333","0"
"81","Cegama, spain","-2.29091","42.97556","0"
"82","Cerceda, spain","-8.48333","43.21667","0"
"83","Cerevajka, serbia","21.57263","42.33637","0"
"84","Chunakam, srilanka","80.0271","9.7456","0"
"85","Churriana, spain","-3.64617","37.14499","12001"
"86","Ciervana, spain","-3.08333","43.35","9418"
"87","Cogonan, philippines","123.3872","7.929","0"
"88","Costa Blanca, spain","-0.48149","38.34517","334757"
"89","Cuesta De Piedra, spain","-16.26667","28.46667","0"
"90","Curva, philippines","121.04591","12.40484","3359"
"91","Dalisay, philippines","121.35502","13.94981","0"
"92","Dampil, philippines","124.79639","8.82167","0"
"93","Datagan, philippines","123.2973","7.9866","0"
"94","Denipitiya, srilanka","80.45","5.96667","0"
"95","Deribat, sudan","24.51944","13.08091","0"
"96","Diagnon, senegal","-15.97417","12.58083","0"
"97","Diit, philippines","124.96833","11.26222","0"
"98","Dikwella, srilanka","80.6954","5.9716","0"
"99","Diogue, senegal","-16.7525","12.57444","0"
"100","Diouloulou, senegal","-16.6","13.05","0"
"101","Dodampe, srilanka","80.3255","6.7272","0"
"102","Dutuwewa, srilanka","80.76667","8.33333","0"
"103","Ed Dueim, sudan","32.3116","14.0012","87068"
"104","Efok, senegal","-16.76167","12.62889","0"
"105","Eguia, spain","-1.97018","43.31837","0"
"106","El Ali, somalia","44.98853","4.19498","0"
"107","El Berron, spain","-5.70462","43.38561","0"
"108","El Burgo, spain","-3.06522","41.58619","5054"
"109","El Grao, spain","-6.02465","43.30828","0"
"110","Elgueta, spain","-2.48862","43.13703","0"
"111","Ellakanda, srilanka","80.0832","7.642","0"
"112","Eluthumadduval, srilanka","80.2757","9.6553","0"
"113","Emaye, senegal","-16.56694","12.43722","0"
"114","Eppawala, srilanka","80.403","8.1426","0"
"115","Erenchun, spain","-2.52251","42.81516","0"
"116","Esquiroz, spain","-1.51667","42.91667","0"
"117","Estrella, spain","-16.65442","28.01259","1000"
"118","Etafoune, senegal","-16.4","12.43333","0"
"119","Farsooley, somalia","44.54507","2.08462","0"
"120","Fashir, sudan","25.34936","13.62793","252609"
"121","Galakit, philippines","124.72417","7.05194","0"
"122","Galewela, srilanka","80.56833","7.75889","0"
"123","Galgediyawa, srilanka","80.5835","7.1832","0"
"124","Galkulama, srilanka","80.5","8.28333","0"
"125","Ganeshapuram, srilanka","80.4529","8.7766","0"
"126","Garsila, sudan","23.14197","12.36784","0"
"127","Gaseke, rwanda","29.8","-2.21667","0"
"128","Gatuna, rwanda","30.02111","-1.435","0"
"129","Gereida, sudan","25.14026","11.27543","0"
"130","Gikoro, rwanda","30.3332","-1.9323","0"
"131","Gintota, srilanka","80.1774","6.0559","0"
"132","Gloria do Ribatejo, portugal","-8.67879","38.98552","0"
"133","Godigamuwa, srilanka","79.9639","7.2767","0"
"134","Godod, somalia","47.6239","6.9521","0"
"135","Gomarankadawala, srilanka","80.9548","8.6749","0"
"136","Goob Weyn, somalia","42.60067","-0.24881","0"
"137","Gorocica, spain","-2.63333","43.31667","0"
"138","Guadalmar, spain","-4.4589","36.6627","0"
"139","Guidel, senegal","-16.17167","12.49306","0"
"140","Guillerna, spain","-2.85413","42.9502","0"
"141","Guipuzcoa, spain","-1.97499","43.31283","185357"
"142","Gurutalawa, srilanka","80.9122","6.8362","0"
"143","Habarana, srilanka","80.7467","8.0363","0"
"144","Habila, sudan","22.87133","14.23669","0"
"145","Hajlij, sudan","33.3449","14.883","0"
"146","Hareeri Caadle, somalia","45.4025","2.2561","0"
"147","Heglig, sudan","33.3449","14.883","0"
"148","Hingurakgoda, srilanka","80.93333","8.03333","0"
"149","Hiniduma, srilanka","80.3116","6.3126","0"
"150","Huluganga, srilanka","80.75","7.4","0"
"151","Ibujan, philippines","122.06299","16.83379","0"
"152","Imaduwa, srilanka","80.81667","7.51667","0"
"153","Imaiyanan, srilanka","80.15","9.8","0"
"154","Inopacan, philippines","124.7405","10.4997","0"
"155","Inuvil, srilanka","80.0252","9.7242","0"
"156","Iranai, srilanka","80.35","8.85","0"
"157","Irupalai, srilanka","80.0474","9.6908","0"
"158","Izarra, spain","-2.90257","42.95409","0"
"159","Izurza, spain","-2.63333","43.15","266"
"160","Jawatta, srilanka","79.9625","6.6085","0"
"161","Jebel Moon, sudan","22.70407","13.99134","0"
"162","Kachchai, srilanka","80.2047","9.6525","0"
"163","Kachcheri, srilanka","79.8318","8.0236","0"
"164","Kaddaiparichan, srilanka","81.28333","8.45","0"
"165","Kaguit, senegal","-16.42222","12.4","0"
"166","Kalalpitiya, srilanka","80.6189","7.4283","0"
"167","Kalawewa, srilanka","80.5273","7.9987","0"
"168","Kalutavalai, srilanka","81.78333","7.53333","0"
"169","Kandalai, srilanka","79.7774","7.8573","0"
"170","Kaour, senegal","-15.90778","12.56611","0"
"171","Kapalturai, srilanka","81.15","8.53333","0"
"172","Karora, sudan","38.363","17.7004","0"
"173","Katagamuwa, srilanka","81.41667","6.4","0"
"174","Katugampola, srilanka","80.494","8.4925","0"
"175","Katugastota, srilanka","80.6212","7.3276","0"
"176","Katukeliyawa, srilanka","80.4196","8.6113","0"
"177","Katuwana, srilanka","80.6971","6.2683","0"
"178","Kekirawa, srilanka","80.6049","8.03","0"
