"","merge","lng","lat","population"
"1","Abole, ethiopia","39.50939","10.95093","0"
"2","Acchabal, india","75.21835","33.68409","0"
"3","Ach'igvara, georgia","41.63732","42.68391","0"
"4","Adilabad District, india","78.5359","19.67203","118526"
"5","Adzvi, georgia","44.18556","42.14278","0"
"6","Aghione, france","9.40048","42.11223","267"
"7","Agua Tibia, guatemala","-90.31667","14.61667","0"
"8","Aijal (in Mizoram), india","92.71791","23.72894","265331"
"9","Ajas, india","74.68014","34.33158","0"
"10","Amarateca, honduras","-87.36667","14.23333","0"
"11","Alauca, honduras","-86.68333","13.85","0"
"12","Alexandroupolis, greece","25.87644","40.84995","52979"
"13","Algajola, france","8.86252","42.6079","242"
"14","Amatillo, honduras","-88.6","14.03333","0"
"15","Ambo, ethiopia","37.85","8.98333","43920"
"16","Amrapara, india","87.57053","24.51572","0"
"17","Andhra, Pradesh State, india","80.63049","16.51928","874587"
"18","Angul District, india","85.10192","20.84089","44386"
"19","Arigam, india","74.68904","33.92749","0"
"20","Arraute, france","-1.10498","43.39611","349"
"21","Asberg, germany","6.661","51.4408","0"
"22","Aspretto, france","8.76107","41.92642","0"
"23","Atal, india","76.7548","28.83927","0"
"24","Avnevi, georgia","43.87778","42.19264","0"
"25","Avrainville, france","2.24553","48.56289","685"
"26","Ayikuma, ghana","-0.05379","5.92092","0"
"27","Baba Bakala, india","75.26389","31.55545","0"
"28","Bad Cannstatt, germany","9.2145","48.8048","0"
"29","Bad Godesberg, germany","7.15393","50.68457","0"
"30","Badgom, india","74.7205","34.01554","0"
"31","Bagiata, georgia","44.07083","42.50722","0"
"32","Bahar Dar, ethiopia","37.39077","11.59364","168899"
"33","Balla, india","119.4803","-3.1185","0"
"34","Baltal, india","75.41977","34.25303","0"
"35","Bangalore City, india","77.59369","12.97194","5104047"
"36","Bania, india","82.45562","22.78437","0"
"37","Baramula District, india","74.34285","34.209","77276"
"38","Bardiha, india","83.73497","24.37526","0"
"39","Barranca Grande, guatemala","-92.15142","15.27718","0"
"40","Barrancas de Galvez, guatemala","-91.85","14.98333","0"
"41","Bastelica, france","9.04996","42.0008","499"
"42","Beliabera, india","86.95414","22.27207","0"
"43","Bella Guatemala, guatemala","-91.39088","16.06823","0"
"44","Belvedere-Campomoro, france","8.8154","41.6277","0"
"45","Bengal, india","88.36304","22.56263","4631392"
"46","Bergern, germany","11.28157","50.91834","0"
"47","Bhagana, india","76.66814","28.03547","0"
"48","Bhairamgarh, india","81.05917","19.00641","0"
"49","Bharuamunda, india","83.00794","20.63783","0"
"50","Bhatghar, india","73.86245","18.16425","0"
"51","Bhimpura, india","83.76652","26.02952","0"
"52","Bholi, india","79.22721","26.78338","0"
"53","Bicalama, guatemala","-91.21972","15.51167","0"
"54","Bidarray, france","-1.34711","43.26605","698"
"55","Bilai, india","110.6","0.38333","0"
"56","Binnaguri, india","89.07669","26.7617","0"
"57","Boca del Monte, guatemala","-90.52417","14.55083","0"
"58","Boda, india","81.24982","22.29626","0"
"59","Boko, india","91.2397","25.98083","0"
"60","Bolivia, guatemala","-91.46667","14.16667","0"
"61","Brito, guatemala","-90.66111","14.14056","0"
"62","Budafok, hungary","19.03167","47.42391","0"
"63","Bundala, india","74.98032","31.53178","0"
"64","Burdwan district, india","87.85691","23.25572","301725"
"65","Cachar, india","92.79787","24.82733","152393"
"66","Cachar District, india","92.79787","24.82733","152393"
"67","Cagnano, france","9.45374","42.87829","0"
"68","Calante, guatemala","-90.83333","15.46667","0"
"69","Casabianca, france","9.36214","42.44523","73"
"70","Chacalte, guatemala","-89.16667","15.76667","0"
"71","Chamac, guatemala","-91.75","14.96667","0"
"72","Chamelecon, honduras","-88.01667","15.43333","0"
"73","Chandipur, india","87.02827","21.44408","0"
"74","Changsari, india","91.6839","26.26433","0"
"75","Channa, india","76.17705","30.56562","0"
"76","Chansolme, haiti","-72.83333","19.88333","0"
"77","Charar-i-Sharif, india","74.76524","33.86319","8036"
"78","Charar Sharif, india","74.76524","33.86319","8036"
"79","Chateauneuf-d'Ille-et-Vilaine, france","-1.92838","48.56083","0"
"80","Chatillon-sous-Bagneux, france","2.29346","48.8024","32383"
"81","Cheche, guatemala","-91.55","15.63333","0"
"82","Chel, guatemala","-91.06611","15.64167","0"
"83","Chex, guatemala","-91.30389","15.38139","0"
"84","Chicabracan, guatemala","-91.1","15","0"
"85","Chichipate, guatemala","-89.46667","15.48333","0"
"86","Chimel, guatemala","-90.01667","15.56667","0"
"87","Chimisales, honduras","-88.3","15.05","0"
"88","Chintapalli, india","78.82042","16.80097","0"
"89","Chipacacab, guatemala","-91.05","14.93333","0"
"90","Chipiacul, guatemala","-91.06667","14.66667","0"
"91","Chogawan, india","75.12231","31.66367","0"
"92","Chorbauli, georgia","43.85722","42.17111","0"
"93","Chordzho, georgia","43.07509","42.55751","0"
"94","Chuabajito, guatemala","-90.8","14.9","0"
"95","Chuatuj, guatemala","-91.6","14.98333","0"
"96","Chuburkhinji, georgia","41.81575","42.57824","0"
"97","Chun, india","77.57512","32.91857","0"
"98","Ciudad Pedro de Alvarado, guatemala","-90.0925","13.87028","0"
"99","Colonia Miraflores, honduras","-87.19278","14.07375","0"
"100","Corfu, greece","19.91975","39.62069","27003"
"101","Cotzol, guatemala","-91.17722","15.50667","0"
"102","Coya, guatemala","-91.66667","15.7","0"
"103","Creuse, france","1.51981","46.58997","5335"
"104","Cruz Quemada, guatemala","-92.09264","15.3422","0"
"105","Cuernavaca, guatemala","-89.55","14.58333","0"
"106","Dada, india","77.80056","30.02083","0"
"107","Dalli, india","81.07501","20.58573","0"
"108","Daren, india","112.892","-7.8056","0"
"109","Darhal, india","74.14449","33.22508","0"
"110","Darrang District, india","92.14722","26.51839","18599"
