"","eventid","iyear","country_txt","region_txt","pop.that.year","Rel.CS","inUC","aroundUC","Rank01.C","Rank01.W","capital","largestC","largest.UC","WC.UC.dist.km","TUPscale","PROPscale","HUMscale","Extra.WAR.In","Extra.WAR.Out","Intra.WAR","Inter.WAR","coast.dist","coast.dist.MIN","coast.dist.MAX","access","access.MAX","light","light.MAX","nldi","nldi.MAX","urbn.cover","city.gdp","gdp.MAX","density","density.MAX","density.growth","density.growth.MAX","EN.URB.MCTY.TL.ZS","SP.URB.TOTL.IN.ZS","EN.URB.LCTY.UR.ZS","latitude","longitude","WCUC.city.old","DV.Target.Urban","DV.Target.Crowded","DV.Target.Connected","DV.Target.Coastal"
"117",200311200006,2003,"turkey","Middle East & North Africa",9746876,1,1,1,1,0.999818052975313,0,1,1,10.6970555938571,7,1,240,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1710,2086.2,0.329394387001477,0.461538461538462,31.1541227237326,66.569,22.205261331024,41.1,29,"istanbul",0.822063492063492,0.754460940035667,0.98015873015873,0.982591876208897
"118",200311200005,2003,"turkey","Middle East & North Africa",9746876,1,1,1,1,0.999818052975313,0,1,1,10.6970555938571,9,1,240,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1710,2086.2,0.329394387001477,0.461538461538462,31.1541227237326,66.569,22.205261331024,41.1,29,"istanbul",0.822063492063492,0.754460940035667,0.98015873015873,0.982591876208897
"243",200807270020,2008,"turkey","Middle East & North Africa",11777944,1,1,1,1,0.999856110967222,0,1,1,10.6970555938571,7,1000,171,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1934.4,2363.2,0.285079365079365,0.41025641025641,34.57517064491,69.562,24.0630081976018,41.1,29,"istanbul",0.822063492063492,0.748146265788058,0.98015873015873,0.982591876208897
"266",200311140004,2003,"turkey","Middle East & North Africa",9746876,1,1,1,1,0.999818052975313,0,1,1,10.6970555938571,7,1,162,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1710,2086.2,0.329394387001477,0.461538461538462,31.1541227237326,66.569,22.205261331024,41.1,29,"istanbul",0.822063492063492,0.754460940035667,0.98015873015873,0.982591876208897
"265",200311140003,2003,"turkey","Middle East & North Africa",9746876,1,1,1,1,0.999818052975313,0,1,1,10.6970555938571,7,1,162,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1710,2086.2,0.329394387001477,0.461538461538462,31.1541227237326,66.569,22.205261331024,41.1,29,"istanbul",0.822063492063492,0.754460940035667,0.98015873015873,0.982591876208897
"1169",200608280001,2006,"turkey","Middle East & North Africa",632251,0.0579049355766937,0,0,0.997206703910615,0.994680188254239,0,0,0,190.828599487011,0,1,69,0,0,0,0,4,0,517,1,504,60,63,0.599901461458207,0.981698041653633,13,32,104,91,2252.4,0.373333333333333,0.41025641025641,33.1263943170972,68.382,23.2670677941058,36.89,30.71,"antalya",0.534373147967065,0.358349362127958,0.814026251526252,0.992263056092843
"1669",200705220002,2007,"turkey","Middle East & North Africa",1392231,0.122772432116687,1,1,0.996275605214153,0.994563289257942,1,0,0,1.08339132920756,0,1,55,0,0,0,0,176,0,517,6,504,63,63,0.536097831785677,0.981698041653633,41,87,104,167,2307.8,0.145695364238411,0.41025641025641,33.8381639378079,68.975,23.6567913947198,39.93,32.85,"ankara",0.63226200933271,0.204566948126954,0.953182234432234,0.659574468085106
"4720",199907040001,1999,"turkey","Middle East & North Africa",8553323,1,1,1,1,0.999808742385556,0,1,1,10.6970555938571,7,1000,26,0,0,1,1,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1530.8,1865.6,0.37434554973822,0.509433962264151,29.1494512246758,64.223,21.3967757004647,41.1,29,"istanbul",0.822063492063492,0.761323429890737,0.98015873015873,0.982591876208897
"5189",199811270002,1998,"turkey","Middle East & North Africa",124457,0.014874406928394,0,0,0.970315398886827,0.974332501649029,0,0,0,57.4971953897794,7,1000,24,0,0,1,0,201,0,517,3,504,49,63,0.688365389704702,0.981698041653633,0,9,104,109.2,1811.2,0.154639175257732,0.509433962264151,28.8461263683405,63.703,21.4240139556445,39.85,33.52,"kirikkale",0.44074189589825,0.197360073665791,0.713102869352869,0.611218568665377
"5452",200608280002,2006,"turkey","Middle East & North Africa",632251,0.0579049355766937,0,0,0.997206703910615,0.994680188254239,0,0,0,190.828599487011,0,1,23,0,0,0,0,4,0,517,1,504,60,63,0.599901461458207,0.981698041653633,13,32,104,91,2252.4,0.373333333333333,0.41025641025641,33.1263943170972,68.382,23.2670677941058,36.89,30.71,"antalya",0.534373147967065,0.358349362127958,0.814026251526252,0.992263056092843
"5779",200608280008,2006,"turkey","Middle East & North Africa",28053,0.00256927195273615,0,0,0.799813780260708,0.857323607503331,0,0,0,199.755707815524,7,1,22,0,0,0,0,4,0,517,141,504,44,63,0.681544485235214,0.981698041653633,0,9,104,61,2252.4,0.181818181818182,0.41025641025641,33.1263943170972,68.382,23.2670677941058,36.86,28.26,"marmaris",0.375198937656536,0.218628942635486,0.556356837606838,0.992263056092843
"6618",201109200004,2011,"turkey","Middle East & North Africa",1706684,0.130059257000852,1,1,0.996272134203169,0.994017208927131,1,0,0,1.08339132920756,9,1000,20,0,0,0,0,176,0,517,6,504,63,63,0.536097831785677,0.981698041653633,41,87,104,175.4,2540.48,0.145695364238411,0.41025641025641,36.7672307277341,71.282,25.1976653788847,39.93,32.85,"ankara",0.634082847801005,0.202574216772929,0.953182234432234,0.659574468085106
